method,seed,class,bin,prob_true,prob_pred
all,42,Bot,0,0.0,0.0016110092157144247
all,42,Bot,1,0.0,0.14933994911816745
all,42,Bot,2,0.0,0.20421890866260814
all,42,Bot,3,0.0,0.34582228235913975
all,42,Bot,4,0.0,0.4397186447363693
all,42,Bot,5,1.0,0.5962516535555171
all,42,Bot,6,1.0,0.6596015060122771
all,42,Bot,7,1.0,0.7639532347743612
all,42,Bot,8,1.0,0.8706823052080633
all,42,Bot,9,1.0,0.9857920607483633
all,42,Brute Force,0,0.01358695652173913,0.012296127210677202
all,42,Brute Force,1,0.08,0.1340615763656906
all,42,Brute Force,2,0.25,0.253465672972294
all,42,Brute Force,3,0.125,0.33254968453794226
all,42,Brute Force,4,0.0,0.43944901788758733
all,42,Brute Force,5,0.6,0.5430535484255363
all,42,Brute Force,6,0.0,0.6122097804116201
all,42,Brute Force,7,0.5,0.7560349080063393
all,42,Brute Force,8,1.0,0.8754274467284668
all,42,Brute Force,9,1.0,0.9969436100697203
all,42,DoS/DDoS,0,0.0,0.004820257280631534
all,42,DoS/DDoS,1,0.6666666666666666,0.13318956313370744
all,42,DoS/DDoS,2,0.0,0.2247521741345663
all,42,DoS/DDoS,3,0.0,0.31390638711102514
all,42,DoS/DDoS,4,1.0,0.4809739930787261
all,42,DoS/DDoS,5,0.0,0.5513346112630042
all,42,DoS/DDoS,6,1.0,0.6314483722159161
all,42,DoS/DDoS,7,1.0,0.8801628308129177
all,42,DoS/DDoS,8,1.0,0.9925777389401844
all,42,Normal,0,0.0,0.009602280023308811
all,42,Normal,1,0.0,0.13042180743183765
all,42,Normal,2,0.125,0.2566697356122696
all,42,Normal,3,0.2857142857142857,0.33670908745498834
all,42,Normal,4,0.5,0.41020200897867065
all,42,Normal,5,0.6,0.5644905524069564
all,42,Normal,6,1.0,0.6450928917212304
all,42,Normal,7,0.8,0.7540403265410787
all,42,Normal,8,1.0,0.85725538128464
all,42,Normal,9,1.0,0.9841265423438853
all,42,Web Attack,0,0.0,0.0045498104531533305
all,42,Web Attack,1,0.0,0.13418835573663992
all,42,Web Attack,2,0.4,0.27563575831591697
all,42,Web Attack,3,1.0,0.3630162084857093
all,42,Web Attack,4,0.6,0.4248208424158017
all,42,Web Attack,5,0.8,0.5674359733150037
all,42,Web Attack,6,0.6666666666666666,0.667575309082295
all,42,Web Attack,7,1.0,0.7471368406324237
all,42,Web Attack,8,0.875,0.8592310049052445
all,42,Web Attack,9,0.9365079365079365,0.9503094550465083
chi2,42,Bot,0,0.0,0.0012379330380983915
chi2,42,Bot,1,0.0,0.1522332823489457
chi2,42,Bot,2,0.0,0.33877993893442193
chi2,42,Bot,3,0.0,0.44289309910757474
chi2,42,Bot,4,1.0,0.5814612131959802
chi2,42,Bot,5,1.0,0.7350479745095454
chi2,42,Bot,6,1.0,0.8458614109271655
chi2,42,Bot,7,1.0,0.9867622635243704
chi2,42,Brute Force,0,0.016,0.012400369527956624
chi2,42,Brute Force,1,0.0625,0.13672250242105452
chi2,42,Brute Force,2,0.25,0.2503065135157283
chi2,42,Brute Force,3,0.125,0.34297837800568565
chi2,42,Brute Force,4,0.0,0.4171632196473288
chi2,42,Brute Force,5,0.5,0.5447442037112458
chi2,42,Brute Force,6,0.3333333333333333,0.6245741093777877
chi2,42,Brute Force,7,0.75,0.8327463625954248
chi2,42,Brute Force,8,1.0,0.9986075115374489
chi2,42,DoS/DDoS,0,0.0,0.0032868310006853203
chi2,42,DoS/DDoS,1,0.2,0.13681552464740526
chi2,42,DoS/DDoS,2,0.2,0.2504886620569563
chi2,42,DoS/DDoS,3,1.0,0.4459450120652891
chi2,42,DoS/DDoS,4,0.0,0.5561328208569646
chi2,42,DoS/DDoS,5,1.0,0.6257544195982743
chi2,42,DoS/DDoS,6,1.0,0.7479120528003342
chi2,42,DoS/DDoS,7,1.0,0.8740759180863272
chi2,42,DoS/DDoS,8,1.0,0.992722898226064
chi2,42,Normal,0,0.0,0.008380358629075423
chi2,42,Normal,1,0.0,0.12994179979968964
chi2,42,Normal,2,0.09090909090909091,0.24799523324991862
chi2,42,Normal,3,0.3333333333333333,0.3538130997071596
chi2,42,Normal,4,0.3333333333333333,0.45842719024122897
chi2,42,Normal,5,1.0,0.5750274142969866
chi2,42,Normal,6,1.0,0.6647306083474671
chi2,42,Normal,7,0.8,0.7384595321373635
chi2,42,Normal,8,1.0,0.8554050519733899
chi2,42,Normal,9,1.0,0.9813062506905104
chi2,42,Web Attack,0,0.0,0.0044829115874140514
chi2,42,Web Attack,1,0.25,0.13330157466626008
chi2,42,Web Attack,2,0.0,0.24202610397114427
chi2,42,Web Attack,3,0.6666666666666666,0.3419540286279501
chi2,42,Web Attack,4,0.8,0.43412847380417413
chi2,42,Web Attack,5,0.75,0.5660230968203457
chi2,42,Web Attack,6,0.75,0.6411816661037297
chi2,42,Web Attack,7,1.0,0.753341848498493
chi2,42,Web Attack,8,0.8333333333333334,0.8682715748911493
chi2,42,Web Attack,9,0.9402985074626866,0.9549010290887104
mutual_info,42,Bot,0,0.0,0.0012656683127991823
mutual_info,42,Bot,1,0.0,0.15211557564767184
mutual_info,42,Bot,2,0.0,0.2942799092998078
mutual_info,42,Bot,3,0.0,0.34539659804084544
mutual_info,42,Bot,4,0.0,0.45387244976714913
mutual_info,42,Bot,5,1.0,0.5728895905158823
mutual_info,42,Bot,6,1.0,0.7637832320046819
mutual_info,42,Bot,7,1.0,0.8536914664411352
mutual_info,42,Bot,8,1.0,0.9865508960403381
mutual_info,42,Brute Force,0,0.015957446808510637,0.012205568328692391
mutual_info,42,Brute Force,1,0.058823529411764705,0.15292240350669034
mutual_info,42,Brute Force,2,0.2857142857142857,0.26339157570300065
mutual_info,42,Brute Force,3,0.125,0.3570292818437122
mutual_info,42,Brute Force,4,0.0,0.4696763987587541
mutual_info,42,Brute Force,5,1.0,0.5371729024515198
mutual_info,42,Brute Force,6,0.6666666666666666,0.6373956281090574
mutual_info,42,Brute Force,7,0.0,0.7797601917771826
mutual_info,42,Brute Force,8,1.0,0.8609669106590822
mutual_info,42,Brute Force,9,1.0,0.9984094681944038
mutual_info,42,DoS/DDoS,0,0.0,0.0030541110586385463
mutual_info,42,DoS/DDoS,1,0.2857142857142857,0.13427325507748944
mutual_info,42,DoS/DDoS,2,0.0,0.2532679965389169
mutual_info,42,DoS/DDoS,3,1.0,0.40133269309089203
mutual_info,42,DoS/DDoS,4,0.0,0.5450355895228036
mutual_info,42,DoS/DDoS,5,1.0,0.6008728255803886
mutual_info,42,DoS/DDoS,6,1.0,0.7084122844158762
mutual_info,42,DoS/DDoS,7,1.0,0.8631154095643
mutual_info,42,DoS/DDoS,8,1.0,0.9930098272062168
mutual_info,42,Normal,0,0.0,0.008381620074017646
mutual_info,42,Normal,1,0.0,0.14585763705766697
mutual_info,42,Normal,2,0.1,0.2652430481999785
mutual_info,42,Normal,3,0.5,0.35163211535638017
mutual_info,42,Normal,4,0.6666666666666666,0.4314575075244111
mutual_info,42,Normal,5,0.6666666666666666,0.5648182978567836
mutual_info,42,Normal,6,1.0,0.6320540463930853
mutual_info,42,Normal,7,0.8333333333333334,0.7389534649691182
mutual_info,42,Normal,8,1.0,0.8501580991076922
mutual_info,42,Normal,9,1.0,0.9799043014083577
mutual_info,42,Web Attack,0,0.0,0.004345634487768836
mutual_info,42,Web Attack,1,0.0,0.13903923087562017
mutual_info,42,Web Attack,2,0.5,0.24352127035058715
mutual_info,42,Web Attack,3,0.6666666666666666,0.33702723651504923
