fold,k,feature,rank,chi2_score
0,60,Bwd Packet Length Mean,1,630.3125174553139
0,60,Avg Bwd Segment Size,2,630.3125174553139
0,60,Idle Max,3,519.0099662080271
0,60,Idle Mean,4,496.51324095857615
0,60,Idle Min,5,476.84319742737773
0,60,Bwd Packet Length Max,6,470.59082295113296
0,60,Bwd Packet Length Std,7,433.9594344218081
0,60,Fwd IAT Max,8,405.3912299831702
0,60,Packet Length Mean,9,405.3095471134706
0,60,Init_Win_bytes_backward,10,404.9622733405455
0,60,Flow IAT Max,11,404.41474744601953
0,60,Average Packet Size,12,388.02784346045064
0,60,Packet Length Std,13,345.39226827644273
0,60,Fwd IAT Total,14,312.88659896686863
0,60,Flow Duration,15,301.30729123312
0,60,URG Flag Count,16,278.2806456520841
0,60,Fwd IAT Std,17,275.6454600102848
0,60,Destination Port,18,267.03989661176377
0,60,FIN Flag Count,19,232.83819628647214
0,60,PSH Flag Count,20,228.27188041946738
0,60,Init_Win_bytes_forward,21,202.55637721413365
0,60,Max Packet Length,22,199.93272846291703
0,60,Packet Length Variance,23,192.73381150471081
0,60,Fwd PSH Flags,24,189.06867478327496
0,60,SYN Flag Count,25,189.06867478327496
0,60,Bwd Packet Length Min,26,188.23291697510098
0,60,ACK Flag Count,27,175.26685587925832
0,60,min_seg_size_forward,28,174.20487805913828
0,60,Flow IAT Std,29,157.78590860778698
0,60,Bwd IAT Max,30,97.4249067384686
0,60,Bwd IAT Std,31,78.17948971629295
0,60,Bwd IAT Total,32,74.85906904469479
0,60,Fwd Packet Length Min,33,59.54958029717593
0,60,Fwd IAT Mean,34,57.90088438042418
0,60,Idle Std,35,57.24479127822701
0,60,Min Packet Length,36,56.9947468218673
0,60,Bwd Header Length,37,43.67433166220528
0,60,Flow IAT Mean,38,39.52714245213962
0,60,Down/Up Ratio,39,36.62941286364296
0,60,Active Mean,40,28.0067039794331
0,60,Total Length of Bwd Packets,41,27.438727612434228
0,60,Subflow Bwd Bytes,42,27.438727612434228
0,60,Fwd Packets/s,43,24.190134280155302
0,60,Active Min,44,23.88414854929678
0,60,Total Backward Packets,45,23.556671449669636
0,60,Subflow Bwd Packets,46,23.556671449669636
0,60,Flow Packets/s,47,23.219932207078458
0,60,Bwd IAT Mean,48,22.744192612159083
