method,seed,feature_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,log_loss,brier_macro,ece,mce,train_seconds,predict_seconds
all,42,78,0.9564356435643564,0.9564356435643564,0.9572678527075531,0.9564356435643564,0.9565254052877815,0.1378911416543172,0.014212213853689922,0.025380248841448634,0.19231600469260135,0.5244451999897137,0.11391159999766387
chi2,42,60,0.9564356435643564,0.9564356435643564,0.9571930307516734,0.9564356435643564,0.9565383111274114,0.1353154470085654,0.014239534369498708,0.022797836701580337,0.18485265146369634,0.46617820000392385,0.10227350000059232
mutual_info,42,60,0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967,0.13264829552121113,0.013872336095173021,0.02350125277127024,0.23912476864366483,0.4731012999836821,0.16395449999254197
anova,42,60,0.9564356435643564,0.9564356435643564,0.9571930307516734,0.9564356435643564,0.9565383111274114,0.15176193868472324,0.01507759650901921,0.019509029560987535,0.25859124540686196,0.4704473000019789,0.09348049998516217
all,2024,78,0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.13328601726189718,0.013782651623142786,0.026083424855587747,0.200309543059132,0.4812141000002157,0.1030046000087168
chi2,2024,60,0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967,0.13508703054491375,0.013911779985111944,0.02654521772849863,0.6280371014091086,0.4775421999802347,0.08833540001069196
mutual_info,2024,60,0.9603960396039604,0.9603960396039604,0.9614161310867928,0.9603960396039604,0.9605206744442821,0.13452679170020632,0.013929383268451279,0.02613140195048589,0.3891696980759501,0.46871830002055503,0.09050399999250658
anova,2024,60,0.9623762376237623,0.9623762376237623,0.9639203468733969,0.9623762376237623,0.9624852863317515,0.14687945198010305,0.0144872463433097,0.02610258982072782,0.3653999256064793,0.46277569999801926,0.09996490000048652
all,3407,78,0.9564356435643564,0.9564356435643564,0.9572678527075531,0.9564356435643564,0.9565254052877815,0.13462805088064314,0.013880526686006867,0.02593229401471938,0.38040722667188853,0.47798220001277514,0.09646609998890199
chi2,3407,60,0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967,0.13275744758322774,0.013650268831815804,0.02371378053457593,0.16465333637671276,0.45322520000627264,0.09468650000053458
mutual_info,3407,60,0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967,0.13446299760953812,0.014107218328968824,0.024032821439815444,0.26435830017054873,0.4683022999961395,0.0982705999922473
anova,3407,60,0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.1524552025162569,0.014967273078987375,0.024801015528041006,0.4157002304381181,0.4859436000115238,0.08849739999277517
