seed,model,variant,temperature,macro_f1,log_loss,brier_macro,ece,mce
42,equal_rf,uncalibrated,1.0,0.9605030012596144,0.13185090535976296,0.013795592177752124,0.026243873418694125,0.3905902091419293
42,equal_rf,temperature_scaled,1.0,0.9605030012596144,0.13185090536238078,0.013795592177760205,0.026243873421242354,0.39059020914153875
42,cfrg_forest,uncalibrated,1.0,0.9624852863317515,0.14755246541663727,0.013982362677309668,0.020329987167585228,0.22481618602234354
42,cfrg_forest,temperature_scaled,1.5,0.9624852863317515,0.1425329853931506,0.01369137076049485,0.014784528270394736,0.11775905193480884
2024,equal_rf,uncalibrated,1.0,0.9605030012596144,0.13518874947617768,0.01399414427903142,0.02525827108822859,0.2583154513507662
2024,equal_rf,temperature_scaled,1.0,0.9605030012596144,0.135188749478746,0.013994144279039014,0.02525827109072682,0.2583154513510929
2024,cfrg_forest,uncalibrated,1.0,0.9624852863317515,0.14221649712995585,0.013901641334478737,0.02029849890900894,0.20259940484693206
2024,cfrg_forest,temperature_scaled,1.5,0.9624852863317515,0.13882233515350875,0.013561644537292255,0.01841488188563335,0.328752964162795
3407,equal_rf,uncalibrated,1.0,0.9585207729615967,0.1328034159417584,0.013660841710868371,0.02722905527290373,0.6164741692787222
3407,equal_rf,temperature_scaled,1.0,0.9585207729615967,0.13280341594434256,0.01366084171087606,0.027229055275409357,0.6164741692791057
3407,cfrg_forest,uncalibrated,1.0,0.9605030012596144,0.15196709956205454,0.01468943103283435,0.022493066905840003,0.2198590829684739
3407,cfrg_forest,temperature_scaled,1.5,0.9605030012596144,0.1446779329335308,0.014228143301897783,0.013744443002254306,0.3314709492228639
