feature,chi2
Bwd Packet Length Mean,781.0784760516143
Avg Bwd Segment Size,781.0784760516143
Idle Max,653.0493788100163
Idle Mean,627.3395839132053
Idle Min,605.4310766356202
Bwd Packet Length Max,583.6530448880449
Bwd Packet Length Std,538.7650309548711
Fwd IAT Max,509.47051582393743
Flow IAT Max,508.596747554479
Init_Win_bytes_backward,506.5807968186281
Packet Length Mean,505.9116616023054
Average Packet Size,484.5251343826969
Packet Length Std,428.29961176892476
Fwd IAT Total,386.57908516034587
Flow Duration,372.4275569810579
URG Flag Count,352.36734693877554
Fwd IAT Std,345.20570498937366
Destination Port,337.9121748023941
FIN Flag Count,303.3260869565217
PSH Flag Count,285.74697938877046
Init_Win_bytes_forward,253.3861857309188
Max Packet Length,248.38128729589047
Packet Length Variance,235.56709437743103
Bwd Packet Length Min,229.22157741993726
SYN Flag Count,219.0252100840337
Fwd PSH Flags,219.0252100840337
min_seg_size_forward,216.60693641618502
ACK Flag Count,215.4864864864865
Flow IAT Std,200.8897772989348
Bwd IAT Max,130.54939877365598
Bwd IAT Std,103.04581124121856
Bwd IAT Total,96.19730271657761
Fwd IAT Mean,73.60798994526665
Fwd Packet Length Min,71.73908577821743
Min Packet Length,69.4970064015724
Idle Std,64.17841031662796
Flow IAT Mean,48.38309455862005
Bwd Header Length,48.1081131900997
Down/Up Ratio,46.58740499457079
Subflow Bwd Bytes,32.518310003986166
Total Length of Bwd Packets,32.518310003986166
Active Mean,31.47064755707747
Flow Packets/s,30.255996027308548
Fwd Packets/s,30.043821401171925
Bwd IAT Mean,29.940133611062034
Active Min,26.45719687738862
Subflow Bwd Packets,25.414876086552
Total Backward Packets,25.414876086552
Bwd Packets/s,22.91048276153464
Active Max,22.277622267378458
Fwd Header Length.1,21.28773107436571
Fwd Header Length,21.28773107436571
Fwd IAT Min,15.622432982192045
Bwd IAT Min,14.767360528404874
Fwd Packet Length Mean,13.009874895659493
Avg Fwd Segment Size,13.009874895659493
Subflow Fwd Bytes,11.396383155717707
Total Length of Fwd Packets,11.396383155717707
Flow IAT Min,10.313386462171971
act_data_pkt_fwd,10.238947664770125
Fwd Packet Length Max,9.99091160220082
Total Fwd Packets,9.978931151793951
Subflow Fwd Packets,9.978931151793951
Fwd Packet Length Std,8.785442682199484
Active Std,7.8874605062856125
Flow Bytes/s,4.839033100526085
RST Flag Count,0.0
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
CWE Flag Count,0.0
ECE Flag Count,0.0
