model,seed,threshold,known_macro_f1,unknown_recall,known_false_rejection_rate,auroc,aupr,known_evaluation_samples,unknown_samples
equal_rf,42,0.7559132004958592,0.9339046867991195,0.8720078163165608,0.064,0.9535495847581827,0.9425364375384457,1000,2047
equal_rf_temperature_scaled,42,0.8452157251138431,0.9353925308587521,0.7039570102589154,0.063,0.9505559355153884,0.9419777108302443,1000,2047
cfrg_forest,42,0.938590487194395,0.9012912598994204,0.0029311187103077674,0.057,0.7921016121152906,0.7729643731021516,1000,2047
cfrg_forest_temperature_scaled,42,0.8348618135372405,0.907398592895869,0.0029311187103077674,0.057,0.8170845139228139,0.7986825732402834,1000,2047
equal_rf,2024,0.7073943665063112,0.9369032569243514,0.6878358573522227,0.042,0.9662623351245726,0.9596923354395641,1000,2047
equal_rf_temperature_scaled,2024,0.7073943665041889,0.9369032569243514,0.6878358573522227,0.042,0.9662623351245726,0.959680507143207,1000,2047
cfrg_forest,2024,0.940545968603702,0.9204016909589665,0.007816316560820713,0.045,0.7912979970688813,0.8120633246242059,1000,2047
cfrg_forest_temperature_scaled,2024,0.8472964620784392,0.9191468818340578,0.006839276990718124,0.048,0.8214694675134342,0.8212454051385054,1000,2047
equal_rf,3407,0.6915459027821478,0.9482768760687568,0.5403028822667318,0.049,0.9491509526135808,0.9251411949527353,1000,2047
equal_rf_temperature_scaled,3407,0.7730372752191236,0.9471764575356622,0.550561797752809,0.049,0.9470972154372252,0.9196472929583783,1000,2047
cfrg_forest,3407,0.9427066566702476,0.920433732420489,0.0039081582804103565,0.048,0.7426858817782119,0.760097439078365,1000,2047
cfrg_forest_temperature_scaled,3407,0.847359137059339,0.9234537818562586,0.006839276990718124,0.048,0.7652735710796288,0.7861577719721025,1000,2047
