split_seed,model,macro_f1,balanced_accuracy,train_seconds
0,equal_rf,0.9605870348992284,0.9603960396039604,0.18600440000227536
0,extra_trees,0.9433596943088798,0.9435643564356436,0.10028999999849475
0,cfrg_forest,0.9605505044567237,0.9603960396039604,0.3378018000003067
1,equal_rf,0.9663097304942753,0.9663366336633663,0.18527589999939664
1,extra_trees,0.9503900183319498,0.9504950495049505,0.10665579999840702
1,cfrg_forest,0.9663190109666658,0.9663366336633663,0.33944770000016433
2,equal_rf,0.9623678713386328,0.9623762376237623,0.18721630000072764
2,extra_trees,0.955293957213691,0.9554455445544555,0.10803649999797926
2,cfrg_forest,0.9603477257914601,0.9603960396039604,0.3390553999997792
3,equal_rf,0.9554243165891952,0.9554455445544555,0.18591029999879538
3,extra_trees,0.9472541622555901,0.9475247524752476,0.10874590000094031
3,cfrg_forest,0.9564629266245301,0.9564356435643564,0.33232520000092336
4,equal_rf,0.9534158732380685,0.9534653465346533,0.187476200000674
4,extra_trees,0.9463588303820165,0.9465346534653465,0.10572949999914272
4,cfrg_forest,0.9553158036820536,0.9554455445544555,0.3400680000013381
5,equal_rf,0.9653356675572244,0.9653465346534652,0.1893963000002259
5,extra_trees,0.9603938822184004,0.9603960396039604,0.10397209999791812
5,cfrg_forest,0.9653356675572244,0.9653465346534652,0.35236340000119526
6,equal_rf,0.9444632592003324,0.9445544554455445,0.18451310000091325
6,extra_trees,0.9433837671422133,0.9435643564356436,0.10215740000057849
6,cfrg_forest,0.9414328524095226,0.9415841584158414,0.33498080000208574
7,equal_rf,0.9603297275294727,0.9603960396039604,0.18800980000014533
7,extra_trees,0.9504472909519652,0.9504950495049505,0.1031924999988405
7,cfrg_forest,0.9593948258618064,0.9594059405940595,0.33819280000170693
8,equal_rf,0.957440671368991,0.9574257425742573,0.20659539999905974
8,extra_trees,0.9542620454353357,0.9544554455445544,0.11964040000020759
8,cfrg_forest,0.9593644541855783,0.9594059405940595,0.35775179999836837
9,equal_rf,0.9465036426750297,0.9465346534653465,0.18340620000162744
9,extra_trees,0.9314624584877669,0.9316831683168317,0.1099900000008347
9,cfrg_forest,0.9464888065883091,0.9465346534653465,0.34543069999926956
