,precision,recall,f1-score,support
Analysis,0.012039127163280662,0.023633677991137372,0.015952143569292122,677.0
Backdoor,0.06084735576923077,0.6946826758147513,0.11189390799834231,583.0
DoS,0.43365253077975374,0.15505013450721447,0.22842731039452352,4089.0
Exploits,0.7570824524312897,0.6433704635285663,0.6956099456099456,11132.0
Fuzzers,0.26709358948702555,0.6605080831408776,0.3803733434664893,6062.0
Generic,0.9945984677286006,0.9562291346510519,0.9750364726860107,18871.0
Normal,0.984032954099647,0.6779189189189189,0.8027844455112818,37000.0
Reconnaissance,0.8704663212435233,0.816933638443936,0.8428508189464364,3496.0
Shellcode,0.20554428668018931,0.8042328042328042,0.32740980075390413,378.0
Worms,0.5365853658536586,0.5,0.5176470588235295,44.0
accuracy,0.7109143467910412,0.7109143467910412,0.7109143467910412,0.7109143467910412
macro avg,0.5121942451236199,0.5932559531229258,0.48979852477597563,82332.0
weighted avg,0.85248184955449,0.7109143467910412,0.7561520155306748,82332.0
