,precision,recall,f1-score,support
Analysis,0.0334553058024046,0.09453471196454949,0.04942084942084942,677.0
Backdoor,0.039085714285714286,0.2933104631217839,0.06897942718838242,583.0
DoS,0.33049205734211545,0.2086084617265835,0.2557721139430285,4089.0
Exploits,0.7446203816483963,0.65900107797341,0.6991993900114373,11132.0
Fuzzers,0.27734625525546924,0.6420323325635104,0.3873600398108982,6062.0
Generic,0.9945487583282859,0.9571299878119867,0.9754806653704904,18871.0
Normal,0.9774278998619558,0.7080540540540541,0.8212153033556416,37000.0
Reconnaissance,0.8852820674440592,0.8034897025171625,0.8424051581946319,3496.0
Shellcode,0.21658327376697642,0.8015873015873016,0.3410241980866629,378.0
Worms,0.5238095238095238,0.5,0.5116279069767442,44.0
accuracy,0.7252344167516883,0.7252344167516883,0.7252344167516883,0.7252344167516883
macro avg,0.5022651237544901,0.5667748093320342,0.49524850523587666,82332.0
weighted avg,0.8441435825853707,0.7252344167516883,0.7669061644823422,82332.0
