,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,0.1019202363367799,0.3707533234859675,0.172821270310192,0.033973412112259974,0.033973412112259974,0.22304283604135894,0.05465288035450517,0.004431314623338257,0.004431314623338257,0.0
Backdoor,0.10634648370497427,0.3190394511149228,0.18181818181818182,0.017152658662092625,0.07032590051457976,0.2692967409948542,0.00686106346483705,0.012006861063464836,0.017152658662092625,0.0
DoS,0.10564930300807043,0.442161897774517,0.1574957202249939,0.14771337735387624,0.046221570066030816,0.041330398630472,0.0031792614331132307,0.01883101002690144,0.0359501100513573,0.001467351430667645
Exploits,0.04329859863456701,0.16295364714337046,0.04132231404958678,0.6122888968738771,0.03620194035213798,0.02820697089471793,0.004311893639956881,0.0372799137621272,0.03296802012217032,0.001167804527488322
Fuzzers,0.023589574397888485,0.08116133289343451,0.03579676674364896,0.00791817881887166,0.7184097657538766,0.04981854173540086,0.041075552622896735,0.026064005278785878,0.015671395579016825,0.0004948861761794787
Generic,0.00037093953685549255,0.0010068358857506226,0.0038153780933707806,0.021355519050394785,0.03470934237719252,0.9316411424937735,5.299136240792751e-05,0.00037093953685549255,0.006358963488951301,0.00031794817444756504
Normal,0.03813513513513513,0.0002702702702702703,0.0014864864864864865,0.015945945945945946,0.29027027027027025,0.0009189189189189189,0.6297027027027027,0.01308108108108108,0.009945945945945946,0.00024324324324324323
Reconnaissance,0.014016018306636156,0.06550343249427917,0.008009153318077803,0.020881006864988557,0.020594965675057208,0.0,0.0005720823798627002,0.8223684210526315,0.04805491990846682,0.0
Shellcode,0.0,0.0,0.0,0.018518518518518517,0.06878306878306878,0.0,0.0,0.09259259259259259,0.8201058201058201,0.0
Worms,0.0,0.0,0.0,0.5,0.045454545454545456,0.0,0.0,0.0,0.1590909090909091,0.29545454545454547
