,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,0.047267355982274745,0.5450516986706057,0.155096011816839,0.05465288035450517,0.11521418020679468,0.050221565731166914,0.023633677991137372,0.004431314623338257,0.004431314623338257,0.0
Backdoor,0.048027444253859346,0.5385934819897084,0.15780445969125215,0.018867924528301886,0.15608919382504288,0.058319039451114926,0.0,0.005145797598627788,0.017152658662092625,0.0
DoS,0.07336757153338225,0.4969430178527757,0.1660552702372218,0.15284910736121302,0.05747126436781609,0.008314991440449988,0.0009782342871117633,0.010271460014673514,0.03325996576179995,0.0004891171435558817
Exploits,0.028027308659719728,0.191699604743083,0.03970535393460295,0.6461552281710384,0.037459575997125405,0.006288178224937119,0.005479698167445203,0.02712899748472871,0.01751706791232483,0.0005389867049946101
Fuzzers,0.010887495875948531,0.12042230287033982,0.03464203233256351,0.049653579676674366,0.6644671725503134,0.011217419993401518,0.05146816232266579,0.001814582645991422,0.055262289673375126,0.0001649620587264929
Generic,0.00042393089926342006,0.0011658099729744051,0.004133326267818345,0.02230936357373748,0.004133326267818345,0.9565470828254995,5.299136240792751e-05,0.0,0.011022203380848921,0.00021196544963171003
Normal,0.021648648648648648,0.0007297297297297297,0.0024324324324324323,0.018108108108108107,0.2750810810810811,0.0,0.6749459459459459,0.0008648648648648649,0.006162162162162162,2.7027027027027027e-05
Reconnaissance,0.010297482837528604,0.06836384439359268,0.008295194508009153,0.055491990846681924,0.015446224256292907,0.0,0.0,0.8192219679633868,0.02288329519450801,0.0
Shellcode,0.0,0.0,0.0026455026455026454,0.07936507936507936,0.09788359788359788,0.0,0.005291005291005291,0.015873015873015872,0.798941798941799,0.0
Worms,0.0,0.0,0.022727272727272728,0.5,0.0,0.0,0.022727272727272728,0.0,0.0,0.45454545454545453
