,precision,recall,f1-score,support
Analysis,0.02039184326269492,0.07533234859675036,0.032095657646318436,677.0
Backdoor,0.04180194805194805,0.35334476843910806,0.07475957176555979,583.0
DoS,0.40414507772020725,0.15260454878943508,0.2215515710988816,4089.0
Exploits,0.7946366380311122,0.614893999281351,0.6933049731591209,11132.0
Fuzzers,0.26512829757827056,0.7278126031012867,0.3886711007355856,6062.0
Generic,0.9317010993679962,0.9296274707222723,0.9306631299734748,18871.0
Normal,0.9855238095238095,0.6292702702702703,0.7680989690721649,37000.0
Reconnaissance,0.7148554336989033,0.8203661327231121,0.7639850825785829,3496.0
Shellcode,0.18742138364779873,0.7883597883597884,0.30284552845528456,378.0
Worms,0.3125,0.3409090909090909,0.32608695652173914,44.0
accuracy,0.6819341203906136,0.6819341203906136,0.6819341203906136,0.6819341203906136
macro avg,0.46581055308827396,0.5432521021192465,0.4502062541006713,82332.0
weighted avg,0.835326119961467,0.6819341203906136,0.7266573653572486,82332.0
