,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,0.0620384047267356,0.3308714918759232,0.33677991137370755,0.059084194977843424,0.11816838995568685,0.059084194977843424,0.025110782865583457,0.004431314623338257,0.004431314623338257,0.0
Backdoor,0.06518010291595197,0.27958833619210977,0.37735849056603776,0.024013722126929673,0.16123499142367068,0.0686106346483705,0.0017152658662092624,0.008576329331046312,0.0137221269296741,0.0
DoS,0.08094888725849841,0.417461482024945,0.2144778674492541,0.17461482024944974,0.057715822939594034,0.009782342871117632,0.0019564685742235266,0.012961604304230863,0.029102470041574957,0.0009782342871117633
Exploits,0.03162055335968379,0.15226374416097735,0.06854114265181459,0.6597197269134027,0.035393460294646066,0.0073661516349263385,0.007186489399928135,0.022637441609773625,0.014732303269852677,0.0005389867049946101
Fuzzers,0.015506433520290333,0.07093368525239195,0.07291322995710986,0.05493236555592214,0.6329594193335533,0.013196964698119432,0.08264599142197294,0.001979544704717915,0.05493236555592214,0.0
Generic,0.00021196544963171003,0.0006888877113030576,0.004292300355042128,0.022415346298553337,0.0042393089926342,0.9577658841608818,0.00015897408722378252,0.00010598272481585502,0.009909384770282444,0.00021196544963171003
Normal,0.01864864864864865,0.00016216216216216215,0.0014864864864864865,0.01937837837837838,0.24672972972972973,2.7027027027027027e-05,0.706972972972973,0.0006216216216216216,0.005945945945945946,2.7027027027027027e-05
Reconnaissance,0.011155606407322655,0.06064073226544622,0.012585812356979404,0.07551487414187644,0.014874141876430207,0.0,0.0008581235697940503,0.8040617848970252,0.02030892448512586,0.0
Shellcode,0.0,0.0,0.0026455026455026454,0.09523809523809523,0.09788359788359788,0.0,0.005291005291005291,0.010582010582010581,0.7883597883597884,0.0
Worms,0.0,0.0,0.022727272727272728,0.5227272727272727,0.0,0.0,0.022727272727272728,0.0,0.0,0.4318181818181818
