,precision,recall,f1-score,support
Analysis,0.02598870056497175,0.1019202363367799,0.04141656662665066,677.0
Backdoor,0.03867747972551466,0.3190394511149228,0.06899109792284866,583.0
DoS,0.3790464979399647,0.1574957202249939,0.22252937111264687,4089.0
Exploits,0.7929269427640763,0.6122888968738771,0.6909975669099757,11132.0
Fuzzers,0.26384345086635164,0.7184097657538766,0.3859447004608295,6062.0
Generic,0.9397583921317083,0.9316411424937735,0.935682162910136,18871.0
Normal,0.9850336109584408,0.6297027027027027,0.7682719733566353,37000.0
Reconnaissance,0.7079537059837478,0.8223684210526315,0.7608839486568745,3496.0
Shellcode,0.19435736677115986,0.8201058201058201,0.31424227065382665,378.0
Worms,0.26,0.29545454545454547,0.2765957446808511,44.0
accuracy,0.6819705582276636,0.6819705582276636,0.6819705582276636,0.6819705582276636
macro avg,0.45875861477059354,0.5408426702113924,0.4465555403291274,82332.0
weighted avg,0.8351149448717263,0.6819705582276636,0.7273513372596379,82332.0
