,precision,recall,f1-score,support
Analysis,0.014522821576763486,0.0310192023633678,0.019783325482807347,677.0
Backdoor,0.05042462845010616,0.4888507718696398,0.09141940657578188,583.0
DoS,0.4199077125906394,0.1557838102225483,0.22725651088119872,4089.0
Exploits,0.7563819728963126,0.6467840459935321,0.6973027940535568,11132.0
Fuzzers,0.26517781125155543,0.6679313757835698,0.3796352726079415,6062.0
Generic,0.9686846479704005,0.9572889618992104,0.962953091684435,18871.0
Normal,0.9843183609141056,0.6751891891891892,0.8009618467457519,37000.0
Reconnaissance,0.8448377581120944,0.8192219679633868,0.8318327040371769,3496.0
Shellcode,0.20502376103190767,0.798941798941799,0.3263101026472177,378.0
Worms,0.5405405405405406,0.45454545454545453,0.49382716049382713,44.0
accuracy,0.7096268765486081,0.7096268765486081,0.7096268765486081,0.7096268765486081
macro avg,0.5049820015334425,0.5695556578771697,0.4831282215209695,82332.0
weighted avg,0.8446102010512406,0.7096268765486081,0.7520806405076815,82332.0
