,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,0.07533234859675036,0.39586410635155095,0.1447562776957164,0.04431314623338257,0.0310192023633678,0.2555391432791728,0.0413589364844904,0.007385524372230428,0.004431314623338257,0.0
Backdoor,0.07547169811320754,0.35334476843910806,0.1509433962264151,0.0137221269296741,0.06689536878216124,0.2967409948542024,0.010291595197255575,0.015437392795883362,0.017152658662092625,0.0
DoS,0.09782342871117633,0.4458302763511861,0.15260454878943508,0.14991440449987772,0.046710687209586696,0.04402054292002935,0.00586940572267058,0.020542920029347028,0.034971875764245534,0.0017119100024455857
Exploits,0.03862738052461372,0.16699604743083005,0.037010420409629895,0.614893999281351,0.0372799137621272,0.03153072224218469,0.004940711462450593,0.034944304707150556,0.03278835788717212,0.0009881422924901185
Fuzzers,0.018145826459914218,0.08528538436159683,0.029858132629495215,0.006598482349059716,0.7278126031012867,0.057406796436819535,0.03645661497855493,0.023094688221709007,0.014681623226657869,0.0006598482349059716
Generic,0.00031794817444756504,0.0010068358857506226,0.003550421281331143,0.021302527687986857,0.03534523872608765,0.9296274707222723,0.00042393089926342006,0.0021726458587250277,0.006041015314503736,0.00021196544963171003
Normal,0.038216216216216216,0.00021621621621621621,0.0013243243243243243,0.015324324324324325,0.29164864864864865,0.0015945945945945947,0.6292702702702703,0.011621621621621621,0.010594594594594595,0.0001891891891891892
Reconnaissance,0.013157894736842105,0.06521739130434782,0.007151029748283753,0.02288329519450801,0.022025171624713957,0.0005720823798627002,0.0,0.8203661327231121,0.04862700228832952,0.0
Shellcode,0.0,0.0,0.0,0.018518518518518517,0.07142857142857142,0.0,0.0,0.12169312169312169,0.7883597883597884,0.0
Worms,0.0,0.0,0.0,0.5,0.022727272727272728,0.0,0.0,0.0,0.13636363636363635,0.3409090909090909
