,precision,recall,f1-score,support
Analysis,0.0304093567251462,0.07680945347119646,0.04356933389191454,677.0
Backdoor,0.0452991452991453,0.36363636363636365,0.08056241687250618,583.0
DoS,0.3510016694490818,0.20567375886524822,0.25936777178103315,4089.0
Exploits,0.741278483565235,0.6604383758533956,0.6985273159144894,11132.0
Fuzzers,0.2750519303774801,0.6334543055097328,0.38355890725665487,6062.0
Generic,0.9924213301114834,0.957606910073658,0.9747033441208198,18871.0
Normal,0.9770290394638869,0.7092702702702702,0.8218916379580332,37000.0
Reconnaissance,0.8917542184017828,0.8012013729977117,0.8440560494199186,3496.0
Shellcode,0.21468926553672316,0.8042328042328042,0.33890746934225197,378.0
Worms,0.5609756097560976,0.5227272727272727,0.5411764705882353,44.0
accuracy,0.7255866491765048,0.7255866491765048,0.7255866491765048,0.7255866491765048
macro avg,0.5079910048686063,0.5735050887637653,0.49863207171458573,82332.0
weighted avg,0.8441794787083818,0.7255866491765048,0.766949855119329,82332.0
