,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,0.01624815361890694,0.621861152141802,0.050221565731166914,0.06351550960118169,0.15214180206794684,0.03249630723781388,0.029542097488921712,0.029542097488921712,0.004431314623338257,0.0
Backdoor,0.017152658662092625,0.6123499142367067,0.0411663807890223,0.018867924528301886,0.19897084048027444,0.048027444253859346,0.008576329331046312,0.03945111492281304,0.015437392795883362,0.0
DoS,0.05404744436292492,0.5135730007336757,0.15235999021765712,0.15407190022010273,0.06456346294937637,0.009782342871117632,0.002690144289557349,0.01516263145023233,0.03325996576179995,0.0004891171435558817
Exploits,0.02030183255479698,0.2015810276679842,0.030542579949694573,0.6455264103485447,0.04293927416457061,0.005120373697448796,0.00583902263744161,0.03153072224218469,0.015900107797341,0.0007186489399928135
Fuzzers,0.004618937644341801,0.13559881227317716,0.012042230287033983,0.04816892114813593,0.6728802375453645,0.007258330583965688,0.054272517321016164,0.00791817881887166,0.05724183437809304,0.0
Generic,0.00031794817444756504,0.0012188013353823326,0.004133326267818345,0.022627311748185046,0.0037093953685549256,0.9571299878119867,0.00010598272481585502,0.00021196544963171003,0.010174341582322081,0.00037093953685549255
Normal,0.020513513513513514,0.0006216216216216216,0.002135135135135135,0.018594594594594595,0.2730810810810811,0.0,0.679027027027027,0.0005135135135135136,0.005432432432432433,8.108108108108108e-05
Reconnaissance,0.008009153318077803,0.06836384439359268,0.009725400457665904,0.05348970251716247,0.018592677345537757,0.0,0.0002860411899313501,0.8177917620137299,0.02345537757437071,0.0002860411899313501
Shellcode,0.0,0.005291005291005291,0.0,0.07407407407407407,0.09788359788359788,0.0,0.005291005291005291,0.010582010582010581,0.8068783068783069,0.0
Worms,0.0,0.0,0.022727272727272728,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.5227272727272727
