,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,0.07680945347119646,0.40472673559822747,0.2688330871491876,0.060561299852289516,0.1344165435745938,0.0206794682422452,0.025110782865583457,0.004431314623338257,0.004431314623338257,0.0
Backdoor,0.0823327615780446,0.36363636363636365,0.2933104631217839,0.022298456260720412,0.1783876500857633,0.03430531732418525,0.0,0.010291595197255575,0.015437392795883362,0.0
DoS,0.09024211298606016,0.41550501345072144,0.20567375886524822,0.1760821716801174,0.059916850085595504,0.007825874296894107,0.0019564685742235266,0.011494252873563218,0.030814380044020543,0.0004891171435558817
Exploits,0.03611210923463888,0.15693496227093065,0.05964786201940352,0.6604383758533956,0.038088393819619114,0.0038627380524613726,0.006647502694933525,0.022637441609773625,0.015091627739849083,0.0005389867049946101
Fuzzers,0.01996040910590564,0.08693500494886176,0.05856153084790498,0.05229297261629825,0.6334543055097328,0.004618937644341801,0.08380072583305839,0.001979544704717915,0.05839656878917849,0.0
Generic,0.00015897408722378252,0.000529913624079275,0.004610248529489693,0.022945259922632612,0.0038153780933707806,0.957606910073658,0.00015897408722378252,0.00021196544963171003,0.009644427958242807,0.00031794817444756504
Normal,0.01818918918918919,0.00016216216216216215,0.0012432432432432433,0.01964864864864865,0.24562162162162163,2.7027027027027027e-05,0.7092702702702702,0.0003783783783783784,0.005378378378378379,8.108108108108108e-05
Reconnaissance,0.012013729977116704,0.05863844393592677,0.013729977116704805,0.07522883295194507,0.017162471395881007,0.0,0.0014302059496567505,0.8012013729977117,0.02030892448512586,0.0002860411899313501
Shellcode,0.0,0.0,0.0026455026455026454,0.08465608465608465,0.09788359788359788,0.0,0.005291005291005291,0.005291005291005291,0.8042328042328042,0.0
Worms,0.0,0.0,0.022727272727272728,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.5227272727272727
