feature,chi2
Idle Max,739.1876343336224
Idle Mean,700.8188390699394
Idle Min,667.8269132967046
Bwd Packet Length Max,618.068946463449
Avg Bwd Segment Size,611.0885924394535
Bwd Packet Length Mean,611.0885924394535
Fwd IAT Max,589.3831899492625
Flow IAT Max,588.3157453545472
Average Packet Size,543.5901696349187
Packet Length Mean,532.9844184839537
Init_Win_bytes_backward,518.411464016855
Bwd Packet Length Std,497.2201350176372
Packet Length Std,459.5605923471351
Fwd IAT Total,426.55520877559485
Flow Duration,411.34413386504826
Fwd IAT Std,386.62520718293644
URG Flag Count,366.0338983050848
Destination Port,334.2023853972034
FIN Flag Count,295.44444444444446
PSH Flag Count,277.29328621908127
Max Packet Length,267.4148453082267
Packet Length Variance,251.00719573678214
Bwd Packet Length Min,239.73774755572242
Fwd PSH Flags,235.03508771929828
SYN Flag Count,235.03508771929828
Init_Win_bytes_forward,230.00233867083062
Flow IAT Std,217.47661187518133
ACK Flag Count,196.642089093702
Bwd IAT Max,159.1076260132312
Bwd IAT Std,105.40722295509528
Bwd IAT Total,91.57625109004064
Idle Std,84.80585129949398
Flow IAT Mean,81.32110005041645
Min Packet Length,81.20014633545581
Fwd IAT Mean,80.83953584641556
min_seg_size_forward,65.92179262881044
Active Mean,48.84327888401255
Down/Up Ratio,40.64256748928321
Active Min,37.91524787610169
Bwd IAT Mean,35.4120962518793
Active Max,32.79893348545291
Flow Packets/s,32.03426247028588
Fwd Packets/s,30.230332673427526
Bwd Header Length,27.28679096485317
Fwd Packet Length Min,25.954441741457423
Total Length of Bwd Packets,25.548256151866607
Subflow Bwd Bytes,25.548256151866607
Bwd Packets/s,20.912891682011956
Active Std,16.59500121283085
Subflow Bwd Packets,14.255192355176229
Total Backward Packets,14.255192355176229
Fwd Header Length,13.43732671399543
Fwd Header Length.1,13.43732671399543
Fwd Packet Length Mean,13.168159217590647
Avg Fwd Segment Size,13.168159217590647
Subflow Fwd Bytes,11.850959936337878
Total Length of Fwd Packets,11.850959936337878
Fwd Packet Length Max,10.325850503745952
Fwd Packet Length Std,9.130869976830152
Bwd IAT Min,7.821861676517475
Flow Bytes/s,7.677708905347252
Fwd IAT Min,7.186529056891757
Total Fwd Packets,6.28904640736697
Subflow Fwd Packets,6.28904640736697
act_data_pkt_fwd,6.261498326089925
Flow IAT Min,5.644004913268702
RST Flag Count,0.0
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
CWE Flag Count,0.0
ECE Flag Count,0.0
