model,seed,cost_ratio_fn_fp,nec,threshold
rccf,42,1,0.009,0.7183
rccf,42,5,0.013666666666666667,0.404
rccf,42,10,0.017333333333333333,0.3546
rccf,42,50,0.044,0.3546
rccf,42,100,0.07266666666666667,0.115
rccf,2024,1,0.009,0.7172
rccf,2024,5,0.013666666666666667,0.327
rccf,2024,10,0.017,0.327
rccf,2024,50,0.043666666666666666,0.327
rccf,2024,100,0.06666666666666667,0.1391
rccf,3407,1,0.008666666666666666,0.6812
rccf,3407,5,0.013,0.4608
rccf,3407,10,0.018,0.3096
rccf,3407,50,0.04466666666666667,0.3096
rccf,3407,100,0.07033333333333333,0.1269
rccf,7,1,0.009333333333333334,0.6711
rccf,7,5,0.013666666666666667,0.429
rccf,7,10,0.018,0.3571
rccf,7,50,0.04466666666666667,0.3571
rccf,7,100,0.075,0.1034
rccf,13,1,0.009666666666666667,0.46
rccf,13,5,0.014,0.4312
rccf,13,10,0.019,0.4312
rccf,13,50,0.04666666666666667,0.2801
rccf,13,100,0.08,0.2801
rccf,101,1,0.009,0.4746
rccf,101,5,0.013,0.4746
rccf,101,10,0.018,0.3552
rccf,101,50,0.04466666666666667,0.3552
rccf,101,100,0.07233333333333333,0.1152
rccf,202,1,0.009,0.4371
rccf,202,5,0.013,0.4371
rccf,202,10,0.017666666666666667,0.344
rccf,202,50,0.044333333333333336,0.344
rccf,202,100,0.07433333333333333,0.1008
rccf,303,1,0.009333333333333334,0.4955
rccf,303,5,0.015333333333333332,0.3588
rccf,303,10,0.018666666666666668,0.3588
rccf,303,50,0.04533333333333334,0.3588
rccf,303,100,0.07366666666666667,0.1134
rccf,404,1,0.009333333333333334,0.4202
rccf,404,5,0.014333333333333333,0.3617
rccf,404,10,0.019333333333333334,0.3617
rccf,404,50,0.04733333333333333,0.2697
rccf,404,100,0.07166666666666667,0.1207
rccf,505,1,0.009,0.7348
rccf,505,5,0.014666666666666666,0.4104
rccf,505,10,0.018333333333333333,0.3229
rccf,505,50,0.045,0.3229
rccf,505,100,0.06933333333333333,0.1287
equal_rf_chi2,42,1,0.007,0.6874
equal_rf_chi2,42,5,0.014,0.4253
equal_rf_chi2,42,10,0.018666666666666668,0.3625
equal_rf_chi2,42,50,0.04533333333333334,0.3625
equal_rf_chi2,42,100,0.065,0.2378
equal_rf_chi2,2024,1,0.009333333333333334,0.4206
equal_rf_chi2,2024,5,0.013,0.3923
equal_rf_chi2,2024,10,0.01633333333333333,0.3923
equal_rf_chi2,2024,50,0.043,0.3923
equal_rf_chi2,2024,100,0.06966666666666667,0.1968
equal_rf_chi2,3407,1,0.008666666666666666,0.4115
equal_rf_chi2,3407,5,0.011333333333333334,0.4115
equal_rf_chi2,3407,10,0.014666666666666666,0.4115
equal_rf_chi2,3407,50,0.04133333333333333,0.4115
equal_rf_chi2,3407,100,0.07466666666666667,0.4115
equal_rf_chi2,7,1,0.009333333333333334,0.4559
equal_rf_chi2,7,5,0.013333333333333334,0.4559
equal_rf_chi2,7,10,0.018333333333333333,0.4559
equal_rf_chi2,7,50,0.046,0.3659
equal_rf_chi2,7,100,0.06466666666666666,0.2256
equal_rf_chi2,13,1,0.008333333333333333,0.6437
equal_rf_chi2,13,5,0.012666666666666666,0.3644
equal_rf_chi2,13,10,0.016,0.3644
equal_rf_chi2,13,50,0.042666666666666665,0.3644
equal_rf_chi2,13,100,0.06333333333333334,0.094
equal_rf_chi2,101,1,0.008,0.6786
equal_rf_chi2,101,5,0.013333333333333334,0.4375
equal_rf_chi2,101,10,0.016666666666666666,0.4375
equal_rf_chi2,101,50,0.043333333333333335,0.4375
equal_rf_chi2,101,100,0.07333333333333333,0.1889
equal_rf_chi2,202,1,0.009,0.5723
equal_rf_chi2,202,5,0.014,0.4175
equal_rf_chi2,202,10,0.017333333333333333,0.4175
equal_rf_chi2,202,50,0.044,0.4175
equal_rf_chi2,202,100,0.049666666666666665,0.1425
equal_rf_chi2,303,1,0.008666666666666666,0.6097
equal_rf_chi2,303,5,0.013333333333333334,0.3908
equal_rf_chi2,303,10,0.016666666666666666,0.3908
equal_rf_chi2,303,50,0.043333333333333335,0.3908
equal_rf_chi2,303,100,0.06833333333333333,0.1878
equal_rf_chi2,404,1,0.009333333333333334,0.5148
equal_rf_chi2,404,5,0.014,0.418
equal_rf_chi2,404,10,0.019,0.418
equal_rf_chi2,404,50,0.046,0.3707
equal_rf_chi2,404,100,0.069,0.1935
equal_rf_chi2,505,1,0.009,0.5798
equal_rf_chi2,505,5,0.016666666666666666,0.3731
equal_rf_chi2,505,10,0.02,0.3731
equal_rf_chi2,505,50,0.04666666666666667,0.3731
equal_rf_chi2,505,100,0.07766666666666666,0.1709
extra_trees_chi2,42,1,0.019333333333333334,0.736
extra_trees_chi2,42,5,0.038,0.5918
extra_trees_chi2,42,10,0.04633333333333333,0.5918
extra_trees_chi2,42,50,0.07,0.2118
extra_trees_chi2,42,100,0.07,0.2118
extra_trees_chi2,2024,1,0.017666666666666667,0.7857
extra_trees_chi2,2024,5,0.035333333333333335,0.6038
extra_trees_chi2,2024,10,0.043,0.5793
extra_trees_chi2,2024,50,0.066,0.2366
extra_trees_chi2,2024,100,0.066,0.2366
extra_trees_chi2,3407,1,0.020666666666666667,0.7451
extra_trees_chi2,3407,5,0.03666666666666667,0.5675
extra_trees_chi2,3407,10,0.043333333333333335,0.5675
extra_trees_chi2,3407,50,0.06166666666666667,0.2427
extra_trees_chi2,3407,100,0.06166666666666667,0.2427
