dataset,split,class,count,fraction
UNSW-NB15,test,Normal,37000,0.44939999028324346
UNSW-NB15,test,Generic,18871,0.2292061409901375
UNSW-NB15,test,Exploits,11132,0.13520866734683962
UNSW-NB15,test,Fuzzers,6062,0.07362872273235194
UNSW-NB15,test,DoS,4089,0.049664771899140064
UNSW-NB15,test,Reconnaissance,3496,0.04246222610892484
UNSW-NB15,test,Analysis,677,0.008222805227615022
UNSW-NB15,test,Backdoor,583,0.007081086333381917
UNSW-NB15,test,Shellcode,378,0.004591167468299082
UNSW-NB15,test,Worms,44,0.0005344216100665598
UNSW-NB15,train,Normal,56000,0.3193776697977085
UNSW-NB15,train,Generic,40000,0.2281269069983632
UNSW-NB15,train,Exploits,33393,0.19044604513490854
UNSW-NB15,train,Fuzzers,18184,0.10370649192145591
UNSW-NB15,train,DoS,12264,0.06994370968569816
UNSW-NB15,train,Reconnaissance,10491,0.05983198453299571
UNSW-NB15,train,Analysis,2000,0.011406345349918159
UNSW-NB15,train,Backdoor,1746,0.009957739490478554
UNSW-NB15,train,Shellcode,1133,0.006461694640728637
UNSW-NB15,train,Worms,130,0.0007414124477446804
