split,target,count,proportion,support_warning
train,Bot,1364,0.036602710317992754,False
train,Brute Force,7434,0.1994901381993828,False
train,DoS/DDoS,13997,0.3756071380652086,False
train,Normal,13999,0.3756608077284315,False
train,Web Attack,471,0.012639205688984302,False
validation,Bot,292,0.03656398697721012,False
validation,Brute Force,1593,0.1994740796393689,False
validation,DoS/DDoS,3000,0.3756574004507889,False
validation,Normal,3000,0.3756574004507889,False
validation,Web Attack,101,0.012647132481843225,False
test,Bot,292,0.03656398697721012,False
test,Brute Force,1593,0.1994740796393689,False
test,DoS/DDoS,3000,0.3756574004507889,False
test,Normal,3000,0.3756574004507889,False
test,Web Attack,101,0.012647132481843225,True
