model,condition,accuracy,macro_precision,macro_recall,macro_f1
rf_all,clean,0.9584158415841584,0.9597406056834883,0.9584158415841584,0.9584269614247809
rf_all,gaussian_noise_1pct,0.4534653465346535,0.7940659012971522,0.45346534653465354,0.3976445508302029
rf_all,gaussian_noise_5pct,0.3702970297029703,0.35723208228763914,0.3702970297029703,0.3016932515337423
rf_all,feature_mask_1pct,0.9564356435643564,0.9575961380257134,0.9564356435643564,0.9564316443978477
rf_all,feature_mask_5pct,0.9623762376237623,0.9643911433911434,0.9623762376237623,0.9623904991837865
rf_chi2,clean,0.9564356435643564,0.9574777066904726,0.9564356435643564,0.9564454883852503
rf_chi2,gaussian_noise_1pct,0.4514851485148515,0.7662537841321224,0.45148514851485155,0.3883929802874221
rf_chi2,gaussian_noise_5pct,0.3940594059405941,0.3778782894736842,0.3940594059405941,0.3279402401939267
rf_chi2,feature_mask_1pct,0.9564356435643564,0.9574777066904726,0.9564356435643564,0.9564454883852503
rf_chi2,feature_mask_5pct,0.9603960396039604,0.9614347564787439,0.9603960396039604,0.960510480086121
extra_trees_chi2,clean,0.9524752475247524,0.9529200403004212,0.9524752475247524,0.9524441785946521
extra_trees_chi2,gaussian_noise_1pct,0.5148514851485149,0.8498550724637681,0.5148514851485149,0.4913003432394246
extra_trees_chi2,gaussian_noise_5pct,0.3306930693069307,0.44601366742596815,0.3306930693069307,0.2377333202575921
extra_trees_chi2,feature_mask_1pct,0.9524752475247524,0.9529200403004212,0.9524752475247524,0.9524441785946521
extra_trees_chi2,feature_mask_5pct,0.9524752475247524,0.9529200403004212,0.9524752475247524,0.9524441785946521
weighted_rf_chi2,clean,0.9524752475247524,0.9529497364601636,0.9524752475247524,0.9523812208390527
weighted_rf_chi2,gaussian_noise_1pct,0.4415841584158416,0.7752055352055353,0.44158415841584164,0.3788170582356324
weighted_rf_chi2,gaussian_noise_5pct,0.3782178217821782,0.3911578471279964,0.3782178217821782,0.3133353328306026
weighted_rf_chi2,feature_mask_1pct,0.9524752475247524,0.9529497364601636,0.9524752475247524,0.9523812208390527
weighted_rf_chi2,feature_mask_5pct,0.9584158415841584,0.9590029735937506,0.9584158415841584,0.9584446861838611
