feature,chi2,p_value,rank
Avg Bwd Segment Size,781.0784760516143,9.632505152671033e-168,1
Bwd Packet Length Mean,781.0784760516143,9.632505152671033e-168,2
Idle Max,653.0493788100163,5.097687746532523e-140,3
Idle Mean,627.3395839132053,1.8741108134148808e-134,4
Idle Min,605.4310766356202,1.0346158646315676e-129,5
Bwd Packet Length Max,583.6530448880449,5.345176365774225e-125,6
Bwd Packet Length Std,538.7650309548711,2.758281655523761e-115,7
Fwd IAT Max,509.47051582393743,5.993406719777752e-109,8
Flow IAT Max,508.596747554479,9.261206330898222e-109,9
Init_Win_bytes_backward,506.5807968186281,2.5275957356838007e-108,10
Packet Length Mean,505.9116616023054,3.527253771008221e-108,11
Average Packet Size,484.5251343826969,1.4886040036115812e-103,12
Packet Length Std,428.29961176892476,2.131385281117705e-91,13
Fwd IAT Total,386.57908516034587,2.2073320725474538e-82,14
Flow Duration,372.4275569810579,2.5160620995338375e-79,15
URG Flag Count,352.36734693877554,5.405383508210576e-75,16
Fwd IAT Std,345.20570498937366,1.9014742900010444e-73,17
Destination Port,337.9121748023941,7.139047675342502e-72,18
FIN Flag Count,303.3260869565217,2.0764000225838767e-64,19
PSH Flag Count,285.74697938877046,1.2847321523879453e-60,20
Init_Win_bytes_forward,253.3861857309188,1.2135461015671792e-53,21
Max Packet Length,248.38128729589047,1.45298333096582e-52,22
Packet Length Variance,235.56709437743103,8.35625505368482e-50,23
Bwd Packet Length Min,229.22157741993726,1.9416245771996063e-48,24
Fwd PSH Flags,219.0252100840337,3.038727441289526e-46,25
SYN Flag Count,219.0252100840337,3.038727441289526e-46,26
min_seg_size_forward,216.60693641618502,1.0070135831840965e-45,27
ACK Flag Count,215.4864864864865,1.7543097565275543e-45,28
Flow IAT Std,200.8897772989348,2.4186292119389817e-42,29
Bwd IAT Max,130.54939877365598,2.9710230070671493e-27,30
Bwd IAT Std,103.04581124121856,2.2092005417040452e-21,31
Bwd IAT Total,96.19730271657761,6.340020924073394e-20,32
Fwd IAT Mean,73.60798994526665,3.924332238433363e-15,33
Fwd Packet Length Min,71.73908577821743,9.743684388133147e-15,34
Min Packet Length,69.4970064015724,2.898509098657409e-14,35
Idle Std,64.17841031662796,3.8328480830301543e-13,36
Flow IAT Mean,48.38309455862005,7.852344608613291e-10,37
Bwd Header Length,48.1081131900997,8.960536381777937e-10,38
Down/Up Ratio,46.58740499457079,1.858520051790261e-09,39
Subflow Bwd Bytes,32.518310003986166,1.4988502038659439e-06,40
Total Length of Bwd Packets,32.518310003986166,1.4988502038659439e-06,41
Active Mean,31.47064755707747,2.453973288357793e-06,42
Flow Packets/s,30.255996027308548,4.340846230265817e-06,43
Fwd Packets/s,30.043821401171925,4.794920179596689e-06,44
Bwd IAT Mean,29.940133611062034,5.033723143289166e-06,45
Active Min,26.45719687738862,2.5589088575499815e-05,46
Subflow Bwd Packets,25.414876086552,4.1513186471198055e-05,47
Total Backward Packets,25.414876086552,4.1513186471198055e-05,48
Bwd Packets/s,22.91048276153464,0.00013194836950447612,49
Active Max,22.277622267378458,0.00017646230345988627,50
Fwd Header Length,21.28773107436571,0.0002776675400072577,51
Fwd Header Length.1,21.28773107436571,0.0002776675400072577,52
Fwd IAT Min,15.622432982192045,0.003569995370516379,53
Bwd IAT Min,14.767360528404874,0.005208865122202015,54
Avg Fwd Segment Size,13.009874895659493,0.011227644111393863,55
Fwd Packet Length Mean,13.009874895659493,0.011227644111393863,56
Subflow Fwd Bytes,11.396383155717707,0.022452484525103632,57
Total Length of Fwd Packets,11.396383155717707,0.022452484525103632,58
Flow IAT Min,10.313386462171971,0.03546697096952482,59
act_data_pkt_fwd,10.238947664770125,0.03658936280144273,60
Fwd Packet Length Max,9.99091160220082,0.040581053441335245,61
Subflow Fwd Packets,9.978931151793951,0.04078408337137691,62
Total Fwd Packets,9.978931151793951,0.04078408337137691,63
Fwd Packet Length Std,8.785442682199484,0.06669193842490595,64
Active Std,7.8874605062856125,0.09578874407326061,65
Flow Bytes/s,4.839033100526085,0.3042159801686154,66
Bwd Avg Bulk Rate,0.0,1.0,67
Bwd Avg Bytes/Bulk,0.0,1.0,68
Bwd Avg Packets/Bulk,0.0,1.0,69
Bwd PSH Flags,0.0,1.0,70
Bwd URG Flags,0.0,1.0,71
CWE Flag Count,0.0,1.0,72
ECE Flag Count,0.0,1.0,73
Fwd Avg Bulk Rate,0.0,1.0,74
Fwd Avg Bytes/Bulk,0.0,1.0,75
Fwd Avg Packets/Bulk,0.0,1.0,76
Fwd URG Flags,0.0,1.0,77
RST Flag Count,0.0,1.0,78
