feature,chi2,p_value,rank
Idle Max,7760.322177514244,0.0,1
Idle Mean,7439.515202252721,0.0,2
Bwd Packet Length Max,7320.874928830895,0.0,3
Idle Min,7162.553016697559,0.0,4
Fwd IAT Max,7128.871632421758,0.0,5
Avg Bwd Segment Size,7100.947338227171,0.0,6
Bwd Packet Length Mean,7100.947338227171,0.0,7
Flow IAT Max,7093.2636681931335,0.0,8
Bwd Packet Length Std,5938.302136697753,0.0,9
Packet Length Std,5659.010925313965,0.0,10
Average Packet Size,5624.303115973858,0.0,11
Packet Length Mean,5337.214963306201,0.0,12
Fwd IAT Total,4978.227557478437,0.0,13
Flow Duration,4738.900369358123,0.0,14
PSH Flag Count,4547.042569474902,0.0,15
Fwd IAT Std,4410.241184071891,0.0,16
Destination Port,3805.9920997035993,0.0,17
FIN Flag Count,3599.2741909300607,0.0,18
Max Packet Length,3415.2653923245075,0.0,19
URG Flag Count,3274.417572250188,0.0,20
Packet Length Variance,3230.148071874584,0.0,21
Init_Win_bytes_forward,3163.2785425371276,0.0,22
Flow IAT Std,2859.611745969041,0.0,23
Fwd PSH Flags,2565.584548657311,0.0,24
SYN Flag Count,2565.584548657311,0.0,25
Init_Win_bytes_backward,2459.4301989489204,0.0,26
ACK Flag Count,2061.0348779228725,0.0,27
Bwd IAT Max,1262.4638636441098,4.574373639165526e-272,28
Fwd IAT Mean,1017.109943961892,6.991541949616943e-219,29
Bwd IAT Std,961.0679514614366,9.758271751101751e-207,30
Bwd Packet Length Min,797.5200225465823,2.645616247317955e-171,31
Min Packet Length,767.2161744474932,9.685965487355132e-165,32
Idle Std,690.9228026572516,3.218655903185995e-148,33
Flow IAT Mean,560.9670059823284,4.3352618410935116e-120,34
Bwd IAT Total,355.08263953072145,1.4012746222798203e-75,35
Fwd Packets/s,303.95246521164165,1.521194547429725e-64,36
Bwd Packets/s,224.4362754569304,2.0806451678562034e-47,37
Fwd Packet Length Min,217.7684298048396,5.663978695172084e-46,38
Bwd IAT Mean,191.38974858159676,2.664695584044385e-40,39
Active Mean,124.22111435732467,6.696220772389453e-26,40
Active Min,118.76374931082329,9.81038620062719e-25,41
Down/Up Ratio,103.91806638225695,1.4401862100378912e-21,42
Bwd IAT Min,103.45956348262348,1.8034213773391268e-21,43
Fwd IAT Min,88.02416976886754,3.4603778771757376e-18,44
Active Max,73.04651048557176,5.157655071533986e-15,45
Avg Fwd Segment Size,52.22751619516477,1.2363136763541656e-10,46
Fwd Packet Length Mean,52.22751619516477,1.2363136763541656e-10,47
Flow IAT Min,45.20093496541361,3.611289369578008e-09,48
Active Std,43.000725025400264,1.0344290707028913e-08,49
Fwd Packet Length Std,21.83669445300221,0.00021599220692706563,50
Fwd Packet Length Max,21.283171597021816,0.00027824678325578364,51
Subflow Fwd Bytes,20.97362077256078,0.0003205055605760584,52
Total Length of Fwd Packets,20.97362077256078,0.0003205055605760584,53
Flow Bytes/s,15.565472374201427,0.0036612590449146124,54
ECE Flag Count,13.294285714288938,0.009923885391941565,55
RST Flag Count,13.294285714288938,0.009923885391941565,56
Total Length of Bwd Packets,2.3354050613304205,0.6743306797545503,57
Subflow Bwd Bytes,2.334138926901401,0.6745606517747764,58
Flow Packets/s,2.2708956792140187,0.6860728551978115,59
CWE Flag Count,1.6617857142861172,0.7976470208139479,60
Fwd URG Flags,1.6617857142861172,0.7976470208139479,61
Subflow Bwd Packets,1.6475149639201216,0.8002280266631664,62
Total Backward Packets,1.6475149639201216,0.8002280266631664,63
Subflow Fwd Packets,1.5182308674533997,0.8234072658398766,64
Total Fwd Packets,1.5182308674533997,0.8234072658398766,65
act_data_pkt_fwd,0.7866535050073524,0.9402283405582657,66
min_seg_size_forward,4.4608057929073895e-05,0.9999999997512689,67
Fwd Header Length,4.150659043635207e-05,0.9999999997846534,68
Fwd Header Length.1,4.150659043635207e-05,0.9999999997846534,69
Bwd Header Length,4.064560896209007e-05,0.9999999997934946,70
Bwd Avg Bulk Rate,0.0,1.0,71
Bwd Avg Bytes/Bulk,0.0,1.0,72
Bwd Avg Packets/Bulk,0.0,1.0,73
Bwd PSH Flags,0.0,1.0,74
Bwd URG Flags,0.0,1.0,75
Fwd Avg Bulk Rate,0.0,1.0,76
Fwd Avg Bytes/Bulk,0.0,1.0,77
Fwd Avg Packets/Bulk,0.0,1.0,78
