,precision,recall,f1-score,support
Analysis,0.030864197530864196,0.08124076809453472,0.044733631557543715,677.0
Backdoor,0.03603813066728668,0.2658662092624357,0.06347256347256347,583.0
DoS,0.3232064421669107,0.21594521887992174,0.2589063187215951,4089.0
Exploits,0.7452332657200811,0.6600790513833992,0.7000762195121951,11132.0
Fuzzers,0.27732003469210753,0.6329594193335533,0.3856669011961001,6062.0
Generic,0.9821952013896428,0.9588257114090403,0.9703697744885099,18871.0
Normal,0.976751128857708,0.7074054054054054,0.8205401507907896,37000.0
Reconnaissance,0.8763174209547427,0.8086384439359268,0.8411187146682535,3496.0
Shellcode,0.22737471952131638,0.8042328042328042,0.3545189504373178,378.0
Worms,0.5897435897435898,0.5227272727272727,0.5542168674698795,44.0
accuracy,0.725112957294855,0.725112957294855,0.725112957294855,0.725112957294855
macro avg,0.506504413124425,0.5657920304664293,0.4993620092314748,82332.0
weighted avg,0.84038826552218,0.725112957294855,0.765533409446244,82332.0
