,precision,recall,f1-score,support
Analysis,0.029646522234891677,0.07680945347119646,0.0427807486631016,677.0
Backdoor,0.03841782223232553,0.28987993138936535,0.06784423926134082,583.0
DoS,0.3295711060948081,0.21423330887747616,0.259670964873277,4089.0
Exploits,0.7447563076299524,0.6602587136183974,0.6999666682538926,11132.0
Fuzzers,0.27712408864505883,0.6332893434510063,0.3855385387898569,6062.0
Generic,0.9833170307575264,0.9588787027714483,0.9709441150430607,18871.0
Normal,0.9766383042245111,0.7072972972972973,0.82042761301649,37000.0
Reconnaissance,0.8763557483731019,0.8089244851258581,0.8412910902870743,3496.0
Shellcode,0.2270351008215086,0.8042328042328042,0.3541059988351776,378.0
Worms,0.5428571428571428,0.4318181818181818,0.4810126582278481,44.0
accuracy,0.7251372491862217,0.7251372491862217,0.7251372491862217,0.7251372491862217
macro avg,0.5025719173870827,0.558562222205303,0.4923582635251119,82332.0
weighted avg,0.8408137249560306,0.7251372491862217,0.7656093895399191,82332.0
