,precision,recall,f1-score,support
Analysis,0.021596606247589665,0.0827178729689808,0.03425076452599388,677.0
Backdoor,0.039934466516485766,0.3344768439108062,0.07135016465422613,583.0
DoS,0.43544857768052514,0.14600146735143066,0.21868131868131868,4089.0
Exploits,0.7916763273823325,0.6134567014013654,0.6912642980058711,11132.0
Fuzzers,0.26464743782742217,0.7250082481029363,0.38775420177334685,6062.0
Generic,0.9378477189635988,0.9379471146203169,0.9378974141585418,18871.0
Normal,0.9880916812497332,0.6256756756756757,0.7661884194674742,37000.0
Reconnaissance,0.6643598615916955,0.8237986270022883,0.7355382454348104,3496.0
Shellcode,0.1940203562340967,0.8068783068783069,0.3128205128205128,378.0
Worms,0.37209302325581395,0.36363636363636365,0.367816091954023,44.0
accuracy,0.6816669095855803,0.6816669095855803,0.6816669095855803,0.6816669095855803
macro avg,0.47097160569492924,0.5459597221548471,0.4523561431476118,82332.0
weighted avg,0.8369226540067151,0.6816669095855803,0.7258246897079073,82332.0
