seed,delta_macro_f1,paired_effect_delta,mcnemar_odds_ratio,discordant_fraction
42,-0.0024307923580313417,-0.0007513148009015778,0.3333333333333333,0.0015026296018031556
2024,-0.0009609228500840894,-0.00012521913348359628,0.8333333333333334,0.0013774104683195593
3407,-0.001895556279618127,-0.00012521913348359628,0.8333333333333334,0.0013774104683195593
7,-0.001426079524184387,-0.0003756574004507889,0.6666666666666666,0.0018782870022539444
13,0.0003811969667339987,0.00012521913348359628,1.25,0.0011269722013523666
101,0.00084615703044566,0.00025043826696719256,1.5,0.001252191334835963
202,0.00014548494347399465,0.0005008765339343851,2.0,0.0015026296018031556
303,0.00027120863449592303,0.00025043826696719256,2.0,0.0007513148009015778
404,0.000743122051266587,0.00012521913348359628,1.1666666666666667,0.0016278487352867517
505,-0.00023218073224107183,0.000876533934385174,2.0,0.002629601803155522
