baseline,seed,n_rows,a_right_b_wrong,a_wrong_b_right,discordant,mcnemar_p_seed,mcnemar_p_holm_within_baseline
equal_rf_chi2,42,7986,3,6,9,0.5078125,0.5078125
equal_rf_chi2,2024,7986,10,3,13,0.09228515625,0.09228515625
equal_rf_chi2,3407,7986,7,3,10,0.34375,0.34375
equal_rf_chi2,-1,23958,20,12,32,0.21532714972272515,0.21532714972272515
equal_rf_all,42,7986,12,3,15,0.03515625,0.03515625
equal_rf_all,2024,7986,8,5,13,0.5810546875,0.5810546875
equal_rf_all,3407,7986,13,2,15,0.00738525390625,0.00738525390625
equal_rf_all,-1,23958,33,10,43,0.0006061066312668117,0.0006061066312668117
extra_trees_chi2,42,7986,130,18,148,4.005820608928471e-22,4.005820608928471e-22
extra_trees_chi2,2024,7986,132,17,149,3.072911309025749e-23,3.072911309025749e-23
extra_trees_chi2,3407,7986,130,16,146,2.215016253400603e-23,2.215016253400603e-23
extra_trees_chi2,-1,23958,392,51,443,3.023387294973022e-66,3.023387294973022e-66
