accuracy,macro_precision,macro_recall,macro_f1,model,seed,train_seconds,predict_seconds,test_samples,feature_mode,feature_count
0.9405940594059405,0.9417712523726559,0.9405940594059405,0.9408588108693181,decision_tree_all,42,0.030655400012619793,0.0009459999855607748,505,all,78
0.9465346534653465,0.9469099639855942,0.9465346534653465,0.9465997786297423,decision_tree_chi2,42,0.026692999992519617,0.0003063000040128827,505,chi2,60
0.9326732673267327,0.9336124415563669,0.9326732673267326,0.9323791432145091,svm_all,42,0.042359699989901856,0.016012200008844957,505,all,78
0.9326732673267327,0.9336124415563669,0.9326732673267326,0.9323791432145091,svm_chi2,42,0.03861630000756122,0.014277600013883784,505,chi2,60
0.9564356435643564,0.9568056874368756,0.9564356435643564,0.956370169693838,random_forest_all,42,0.4839522000111174,0.04953180000302382,505,all,78
0.9544554455445544,0.9552543448790374,0.9544554455445544,0.9544638234336607,random_forest_chi2,42,0.5298404000059236,0.051068900007521734,505,chi2,60
0.9544554455445544,0.9552543448790374,0.9544554455445544,0.9544638234336607,weighted_rf_chi2,42,0.8010563999996521,0.02740219997940585,505,chi2,60
0.9405940594059405,0.9414229047653094,0.9405940594059405,0.940739863087175,decision_tree_all,2024,0.028478699998231605,0.0004397000011522323,505,all,78
0.9425742574257425,0.9438306333160101,0.9425742574257425,0.9428481090266143,decision_tree_chi2,2024,0.027406300010625273,0.00031380000291392207,505,chi2,60
0.9326732673267327,0.9336124415563669,0.9326732673267326,0.9323791432145091,svm_all,2024,0.04253879998577759,0.015227199997752905,505,all,78
0.9326732673267327,0.9336124415563669,0.9326732673267326,0.9323791432145091,svm_chi2,2024,0.036505900003248826,0.017846600007032976,505,chi2,60
0.9524752475247524,0.9529497364601636,0.9524752475247524,0.9523812208390527,random_forest_all,2024,0.5174523000023328,0.05093510000733659,505,all,78
0.9524752475247524,0.9528175921987805,0.9524752475247524,0.9523979652682307,random_forest_chi2,2024,0.47589100000914186,0.03997030001482926,505,chi2,60
0.9524752475247524,0.9528175921987805,0.9524752475247524,0.9523979652682307,weighted_rf_chi2,2024,0.8701632000156678,0.028109899983974174,505,chi2,60
0.9405940594059405,0.9417712523726559,0.9405940594059405,0.9408588108693181,decision_tree_all,3407,0.02806169999530539,0.0006419999990612268,505,all,78
0.9425742574257425,0.9431755540409418,0.9425742574257425,0.9427018538353442,decision_tree_chi2,3407,0.026813199976459146,0.000374700000975281,505,chi2,60
0.9326732673267327,0.9336124415563669,0.9326732673267326,0.9323791432145091,svm_all,3407,0.04021409997949377,0.017052100010914728,505,all,78
0.9326732673267327,0.9336124415563669,0.9326732673267326,0.9323791432145091,svm_chi2,3407,0.03535849999752827,0.017623399995500222,505,chi2,60
0.9524752475247524,0.9529497364601636,0.9524752475247524,0.9523812208390527,random_forest_all,3407,0.4997793000075035,0.05158529998152517,505,all,78
0.9524752475247524,0.9528175921987805,0.9524752475247524,0.9523979652682307,random_forest_chi2,3407,0.5433120999950916,0.052728200011188164,505,chi2,60
0.9524752475247524,0.9528175921987805,0.9524752475247524,0.9523979652682307,weighted_rf_chi2,3407,0.7863204999885056,0.02823190001072362,505,chi2,60
