accuracy,macro_precision,macro_recall,macro_f1,model,seed,train_seconds,predict_seconds,test_samples,feature_mode,feature_count
0.9405940594059405,0.9417712523726559,0.9405940594059405,0.9408588108693181,decision_tree_all,42,0.027693600015481934,0.0005807999987155199,505,all,78
0.9465346534653465,0.9469099639855942,0.9465346534653465,0.9465997786297423,decision_tree_chi2,42,0.026119699992705137,0.000443900004029274,505,chi2,60
0.9326732673267327,0.9336124415563669,0.9326732673267326,0.9323791432145091,svm_all,42,0.03869980000308715,0.014902399998391047,505,all,78
0.9326732673267327,0.9336124415563669,0.9326732673267326,0.9323791432145091,svm_chi2,42,0.03353029998834245,0.028542400017613545,505,chi2,60
0.9564356435643564,0.9568056874368756,0.9564356435643564,0.956370169693838,random_forest_all,42,0.4262991000141483,0.03909630002453923,505,all,78
0.9544554455445544,0.9552543448790374,0.9544554455445544,0.9544638234336607,random_forest_chi2,42,0.4542836000036914,0.04022999998414889,505,chi2,60
0.9524752475247524,0.9529200403004212,0.9524752475247524,0.9524441785946521,extra_trees_chi2,42,0.25006849999772385,0.03879709998727776,505,chi2,60
0.9544554455445544,0.9552543448790374,0.9544554455445544,0.9544638234336607,weighted_rf_chi2,42,0.7229463999974541,0.029184199986048043,505,chi2,60
0.9405940594059405,0.9414229047653094,0.9405940594059405,0.940739863087175,decision_tree_all,2024,0.028121299983467907,0.0005853000038769096,505,all,78
0.9425742574257425,0.9438306333160101,0.9425742574257425,0.9428481090266143,decision_tree_chi2,2024,0.02702030001091771,0.0006021999870426953,505,chi2,60
0.9326732673267327,0.9336124415563669,0.9326732673267326,0.9323791432145091,svm_all,2024,0.03791840001940727,0.01488259999314323,505,all,78
0.9326732673267327,0.9336124415563669,0.9326732673267326,0.9323791432145091,svm_chi2,2024,0.03382670000428334,0.013657800009241328,505,chi2,60
0.9524752475247524,0.9529497364601636,0.9524752475247524,0.9523812208390527,random_forest_all,2024,0.4231685000122525,0.03805959998862818,505,all,78
0.9524752475247524,0.9528175921987805,0.9524752475247524,0.9523979652682307,random_forest_chi2,2024,0.4789296999806538,0.03745830000843853,505,chi2,60
0.9485148514851485,0.9486943805154622,0.9485148514851485,0.9484961198635418,extra_trees_chi2,2024,0.22895900000003166,0.038756499998271465,505,chi2,60
0.9524752475247524,0.9528175921987805,0.9524752475247524,0.9523979652682307,weighted_rf_chi2,2024,0.7113711999845691,0.027225400001043454,505,chi2,60
0.9405940594059405,0.9417712523726559,0.9405940594059405,0.9408588108693181,decision_tree_all,3407,0.028001400001812726,0.0003745000285562128,505,all,78
0.9425742574257425,0.9431755540409418,0.9425742574257425,0.9427018538353442,decision_tree_chi2,3407,0.02793699997710064,0.0003218000056222081,505,chi2,60
0.9326732673267327,0.9336124415563669,0.9326732673267326,0.9323791432145091,svm_all,3407,0.046921700006350875,0.015278100006980821,505,all,78
0.9326732673267327,0.9336124415563669,0.9326732673267326,0.9323791432145091,svm_chi2,3407,0.03438959998311475,0.013874099997337908,505,chi2,60
0.9524752475247524,0.9529497364601636,0.9524752475247524,0.9523812208390527,random_forest_all,3407,0.4352575999801047,0.04046370001742616,505,all,78
0.9524752475247524,0.9528175921987805,0.9524752475247524,0.9523979652682307,random_forest_chi2,3407,0.4261349999869708,0.03787600001669489,505,chi2,60
0.9504950495049505,0.9507893866384508,0.9504950495049505,0.9504706362791723,extra_trees_chi2,3407,0.24493859999347478,0.038119400007417426,505,chi2,60
0.9524752475247524,0.9528175921987805,0.9524752475247524,0.9523979652682307,weighted_rf_chi2,3407,0.7113902999844868,0.02683210000395775,505,chi2,60
