config_id,k,n_estimators,max_depth,min_samples_leaf,cv_macro_f1,cv_accuracy,complexity
rf_k20_trees100_depthNone_leaf1,20,100,,1,0.9443487123163644,0.9443736730360934,100
rf_k20_trees100_depthNone_leaf2,20,100,,2,0.9553849470587942,0.9554140127388535,200
rf_k20_trees100_depth20_leaf1,20,100,20.0,1,0.944372643881878,0.9443736730360935,2000
rf_k20_trees100_depth20_leaf2,20,100,20.0,2,0.9553849470587942,0.9554140127388535,4000
rf_k20_trees200_depthNone_leaf1,20,200,,1,0.9473129450448405,0.9473460721868365,200
rf_k20_trees200_depthNone_leaf2,20,200,,2,0.9562735563418296,0.9562632696390658,400
rf_k20_trees200_depth20_leaf1,20,200,20.0,1,0.9473129450448405,0.9473460721868365,4000
rf_k20_trees200_depth20_leaf2,20,200,20.0,2,0.9566940938409182,0.9566878980891719,8000
rf_k20_trees300_depthNone_leaf1,20,300,,1,0.9473107620859892,0.9473460721868365,300
rf_k20_trees300_depthNone_leaf2,20,300,,2,0.9554009543565419,0.9554140127388535,600
rf_k20_trees300_depth20_leaf1,20,300,20.0,1,0.9473107620859892,0.9473460721868365,6000
rf_k20_trees300_depth20_leaf2,20,300,20.0,2,0.9558510400522573,0.9558386411889597,12000
rf_k40_trees100_depthNone_leaf1,40,100,,1,0.9502909555771197,0.9503184713375796,100
rf_k40_trees100_depthNone_leaf2,40,100,,2,0.9609280529810913,0.9609341825902336,200
rf_k40_trees100_depth20_leaf1,40,100,20.0,1,0.9502909555771197,0.9503184713375796,2000
rf_k40_trees100_depth20_leaf2,40,100,20.0,2,0.9609280529810913,0.9609341825902336,4000
rf_k40_trees200_depthNone_leaf1,40,200,,1,0.9511446239571641,0.9511677282377919,200
rf_k40_trees200_depthNone_leaf2,40,200,,2,0.9596872983422173,0.9596602972399151,400
rf_k40_trees200_depth20_leaf1,40,200,20.0,1,0.9515678678718693,0.9515923566878982,4000
rf_k40_trees200_depth20_leaf2,40,200,20.0,2,0.9596872983422173,0.9596602972399151,8000
rf_k40_trees300_depthNone_leaf1,40,300,,1,0.9511537876095917,0.951167728237792,300
rf_k40_trees300_depthNone_leaf2,40,300,,2,0.9600935835668561,0.9600849256900214,600
rf_k40_trees300_depth20_leaf1,40,300,20.0,1,0.9511537876095917,0.951167728237792,6000
rf_k40_trees300_depth20_leaf2,40,300,20.0,2,0.9600935835668561,0.9600849256900214,12000
rf_k60_trees100_depthNone_leaf1,60,100,,1,0.959184343492098,0.9592356687898089,100
rf_k60_trees100_depthNone_leaf2,60,100,,2,0.9608654229647797,0.9609341825902333,200
rf_k60_trees100_depth20_leaf1,60,100,20.0,1,0.960045573669418,0.9600849256900211,2000
rf_k60_trees100_depth20_leaf2,60,100,20.0,2,0.9608654229647797,0.9609341825902333,4000
rf_k60_trees200_depthNone_leaf1,60,200,,1,0.958375615946028,0.9583864118895967,200
rf_k60_trees200_depthNone_leaf2,60,200,,2,0.9617465328075087,0.961783439490446,400
rf_k60_trees200_depth20_leaf1,60,200,20.0,1,0.9596556162178439,0.9596602972399151,4000
rf_k60_trees200_depth20_leaf2,60,200,20.0,2,0.9621721249227126,0.962208067940552,8000
rf_k60_trees300_depthNone_leaf1,60,300,,1,0.9600569600743425,0.9600849256900211,300
rf_k60_trees300_depthNone_leaf2,60,300,,2,0.962156094359389,0.962208067940552,600
rf_k60_trees300_depth20_leaf1,60,300,20.0,1,0.9596235856938933,0.9596602972399151,6000
rf_k60_trees300_depth20_leaf2,60,300,20.0,2,0.9630099470215588,0.9630573248407643,12000
