config_id,k,n_estimators,max_depth,min_samples_leaf,cv_macro_f1,cv_accuracy,complexity
rf_k20_trees100_depthNone_leaf1,20,100,,1,0.9456221087233881,0.9456475583864119,100
rf_k20_trees100_depthNone_leaf2,20,100,,2,0.9519432234655734,0.9520169851380043,200
rf_k20_trees100_depth20_leaf1,20,100,20.0,1,0.9455883136038257,0.9456475583864119,2000
rf_k20_trees100_depth20_leaf2,20,100,20.0,2,0.9519432234655734,0.9520169851380043,4000
rf_k20_trees200_depthNone_leaf1,20,200,,1,0.948240121658,0.948195329087049,200
rf_k20_trees200_depthNone_leaf2,20,200,,2,0.952857076530855,0.9528662420382166,400
rf_k20_trees200_depth20_leaf1,20,200,20.0,1,0.9486401192232012,0.948619957537155,4000
rf_k20_trees200_depth20_leaf2,20,200,20.0,2,0.952857076530855,0.9528662420382166,8000
rf_k20_trees300_depthNone_leaf1,20,300,,1,0.9473424572097278,0.9473460721868365,300
rf_k20_trees300_depthNone_leaf2,20,300,,2,0.9536905479574573,0.9537154989384289,600
rf_k20_trees300_depth20_leaf1,20,300,20.0,1,0.9469143264761479,0.9469214437367304,6000
rf_k20_trees300_depth20_leaf2,20,300,20.0,2,0.9536905479574573,0.9537154989384289,12000
rf_k40_trees100_depthNone_leaf1,40,100,,1,0.9490798109285372,0.9490445859872612,100
rf_k40_trees100_depthNone_leaf2,40,100,,2,0.9567811924695656,0.9566878980891719,200
rf_k40_trees100_depth20_leaf1,40,100,20.0,1,0.9486584764605951,0.948619957537155,2000
rf_k40_trees100_depth20_leaf2,40,100,20.0,2,0.9567811924695656,0.9566878980891719,4000
rf_k40_trees200_depthNone_leaf1,40,200,,1,0.949508816984304,0.9494692144373674,200
rf_k40_trees200_depthNone_leaf2,40,200,,2,0.9568116557006677,0.9566878980891721,400
rf_k40_trees200_depth20_leaf1,40,200,20.0,1,0.9486618279623164,0.948619957537155,4000
rf_k40_trees200_depth20_leaf2,40,200,20.0,2,0.9563662344152632,0.9562632696390658,8000
rf_k40_trees300_depthNone_leaf1,40,300,,1,0.9486779484155001,0.948619957537155,300
rf_k40_trees300_depthNone_leaf2,40,300,,2,0.9572392106941144,0.9571125265392781,600
rf_k40_trees300_depth20_leaf1,40,300,20.0,1,0.9482602732987887,0.948195329087049,6000
rf_k40_trees300_depth20_leaf2,40,300,20.0,2,0.9572392106941144,0.9571125265392781,12000
rf_k60_trees100_depthNone_leaf1,60,100,,1,0.9545216337681411,0.9545647558386412,100
rf_k60_trees100_depthNone_leaf2,60,100,,2,0.9588496274122482,0.9588110403397028,200
rf_k60_trees100_depth20_leaf1,60,100,20.0,1,0.9549772679570321,0.9549893842887475,2000
rf_k60_trees100_depth20_leaf2,60,100,20.0,2,0.9588496274122482,0.9588110403397028,4000
rf_k60_trees200_depthNone_leaf1,60,200,,1,0.9545650049158333,0.9545647558386412,200
rf_k60_trees200_depthNone_leaf2,60,200,,2,0.958820259276931,0.9588110403397028,400
rf_k60_trees200_depth20_leaf1,60,200,20.0,1,0.955842916842785,0.9558386411889597,4000
rf_k60_trees200_depth20_leaf2,60,200,20.0,2,0.958820259276931,0.9588110403397028,8000
rf_k60_trees300_depthNone_leaf1,60,300,,1,0.9558432729874763,0.9558386411889597,300
rf_k60_trees300_depthNone_leaf2,60,300,,2,0.9583765235366194,0.9583864118895967,600
rf_k60_trees300_depth20_leaf1,60,300,20.0,1,0.9562372094704917,0.9562632696390658,6000
rf_k60_trees300_depth20_leaf2,60,300,20.0,2,0.9583765235366194,0.9583864118895967,12000
