feature,chi2,p_value,rank
Avg Bwd Segment Size,681.4213214320347,3.6719660196215565e-146,1
Bwd Packet Length Mean,681.4213214320347,3.6719660196215565e-146,2
Idle Max,594.6445177645514,2.2349575527361156e-127,3
Idle Mean,567.2236048058852,1.9196060914278512e-121,4
Idle Min,544.3016847829372,1.749014654284835e-116,5
Init_Win_bytes_backward,531.2941541024907,1.1399272360299711e-113,6
Bwd Packet Length Max,520.8553021004004,2.0656642560928257e-111,7
Bwd Packet Length Std,488.70907673070985,1.853388463983909e-104,8
Fwd IAT Max,467.74426158191847,6.330756569147629e-100,9
Flow IAT Max,464.12490240555707,3.837340130331386e-99,10
Average Packet Size,427.60339037338014,3.0139862263466973e-91,11
Packet Length Mean,418.1390005846789,3.3468225857173554e-89,12
Fwd IAT Total,379.1706690075246,8.79477744519915e-81,13
Packet Length Std,365.3145923085347,8.648730951121811e-78,14
Flow Duration,363.2200176274192,2.4507549654974322e-77,15
URG Flag Count,352.6854838709678,4.614595865568875e-75,16
Destination Port,338.76129666368024,4.681007691973626e-72,17
Fwd IAT Std,301.11565953795696,6.225062294206155e-64,18
PSH Flag Count,291.49394155381333,7.4039586150335e-62,19
FIN Flag Count,291.032967032967,9.308520716239945e-62,20
Init_Win_bytes_forward,246.88974501485978,3.0447389141288145e-52,21
Fwd PSH Flags,217.2605042016807,7.28469473927514e-46,22
SYN Flag Count,217.2605042016807,7.28469473927514e-46,23
Bwd Packet Length Min,212.5950182657659,7.347980306046144e-45,24
Max Packet Length,212.53752558264952,7.560247141681176e-45,25
min_seg_size_forward,205.74550578915296,2.1849058193040584e-43,26
ACK Flag Count,205.2986627043091,2.7260155414056508e-43,27
Packet Length Variance,199.85158028977085,4.043736968373858e-42,28
Flow IAT Std,193.0598799587897,1.1660513751102204e-40,29
Bwd IAT Max,113.75721158472437,1.1493529824360728e-23,30
Fwd IAT Mean,98.55776855015239,1.9945187198347217e-20,31
Bwd IAT Total,77.8147262112805,5.055916937068908e-16,32
Bwd IAT Std,75.43164974127124,1.614781982353647e-15,33
Min Packet Length,73.85521305078083,3.479362616436418e-15,34
Idle Std,59.11480546518881,4.451429830990614e-12,35
Flow IAT Mean,58.99006352728064,4.728240422708883e-12,36
Active Max,55.258055926610936,2.868614688994653e-11,37
Down/Up Ratio,52.839596949890534,9.206436624576941e-11,38
Active Mean,52.211046658424856,1.2461578786592933e-10,39
Active Min,41.89817152848586,1.7512336238967727e-08,40
Bwd IAT Mean,36.58524249467157,2.1928391234831336e-07,41
Flow Packets/s,34.87609465902655,4.925691351803575e-07,42
Fwd IAT Min,34.25125786053832,6.618002719532108e-07,43
Fwd Packets/s,31.66142820525993,2.2434209102643148e-06,44
Fwd Packet Length Min,30.196345554997535,4.4639925400166455e-06,45
Flow IAT Min,27.080436979130805,1.9148235438625437e-05,46
Bwd Packets/s,20.0262709363771,0.0004934708472311375,47
Active Std,18.033035142278766,0.0012158862020208033,48
Bwd Header Length,15.970912158194848,0.003058444577995179,49
Avg Fwd Segment Size,13.889289971611074,0.007656909234913925,50
Fwd Packet Length Mean,13.889289971611074,0.007656909234913925,51
Fwd Header Length,12.277933507992294,0.01539983166537713,52
Fwd Header Length.1,12.277933507992294,0.01539983166537713,53
Subflow Fwd Bytes,11.59581166842975,0.020624177321061976,54
Total Length of Fwd Packets,11.59581166842975,0.020624177321061976,55
Bwd IAT Min,10.62036212764979,0.031178806527632427,56
Fwd Packet Length Max,10.395174941552806,0.034271973015911256,57
Fwd Packet Length Std,9.823653880084962,0.04350532087146408,58
Flow Bytes/s,8.523205382274865,0.0741869502687445,59
Subflow Bwd Packets,8.40890188982331,0.07769714746094226,60
Total Backward Packets,8.40890188982331,0.07769714746094226,61
act_data_pkt_fwd,6.139677950168579,0.18895704965058566,62
Subflow Fwd Packets,5.960154285193028,0.20214380257409256,63
Total Fwd Packets,5.960154285193028,0.20214380257409256,64
Subflow Bwd Bytes,4.317916710519391,0.36468693111986594,65
Total Length of Bwd Packets,4.317916710519391,0.36468693111986594,66
Bwd Avg Bulk Rate,0.0,1.0,67
Bwd Avg Bytes/Bulk,0.0,1.0,68
Bwd Avg Packets/Bulk,0.0,1.0,69
Bwd PSH Flags,0.0,1.0,70
Bwd URG Flags,0.0,1.0,71
CWE Flag Count,0.0,1.0,72
ECE Flag Count,0.0,1.0,73
Fwd Avg Bulk Rate,0.0,1.0,74
Fwd Avg Bytes/Bulk,0.0,1.0,75
Fwd Avg Packets/Bulk,0.0,1.0,76
Fwd URG Flags,0.0,1.0,77
RST Flag Count,0.0,1.0,78
