fold,config,model,mode,k,inner_macro_f1,inner_macro_f1_std
1,rf_all_t100,random_forest,all,,0.9479108288906287,0.007322434587199063
1,rf_chi2_k20_t100,random_forest,chi2,20.0,0.949557719955408,0.006337467784684841
1,et_chi2_k20_t100,extra_trees,chi2,20.0,0.9398773873186225,0.01660917181901543
1,xgb_chi2_k20_t100_d6,xgboost,chi2,20.0,0.9522220022395884,0.005164031998202809
1,rf_chi2_k40_t100,random_forest,chi2,40.0,0.9510930052306383,0.007832436402993598
1,et_chi2_k40_t100,extra_trees,chi2,40.0,0.9356386420404954,0.015152269020271553
1,xgb_chi2_k40_t100_d6,xgboost,chi2,40.0,0.954898334253269,0.004779667073996054
1,rf_chi2_k60_t100,random_forest,chi2,60.0,0.9468006076368086,0.008790939809212407
1,et_chi2_k60_t100,extra_trees,chi2,60.0,0.9409290683463057,0.00773720396705511
1,xgb_chi2_k60_t100_d6,xgboost,chi2,60.0,0.9548493354140165,0.004578031860823419
2,rf_all_t100,random_forest,all,,0.939590563409074,0.009249329222133739
2,rf_chi2_k20_t100,random_forest,chi2,20.0,0.9372855834506325,0.01614809654880215
2,et_chi2_k20_t100,extra_trees,chi2,20.0,0.9337175882177825,0.029782550107603365
2,xgb_chi2_k20_t100_d6,xgboost,chi2,20.0,0.9386019279796548,0.015640610542640692
2,rf_chi2_k40_t100,random_forest,chi2,40.0,0.9381575107525603,0.0031250189966773815
2,et_chi2_k40_t100,extra_trees,chi2,40.0,0.9351460019191058,0.011730949012407977
2,xgb_chi2_k40_t100_d6,xgboost,chi2,40.0,0.9492945865805451,0.001661180311921544
2,rf_chi2_k60_t100,random_forest,chi2,60.0,0.940139817755686,0.01258968315936778
2,et_chi2_k60_t100,extra_trees,chi2,60.0,0.935004328209284,0.016639996571041274
2,xgb_chi2_k60_t100_d6,xgboost,chi2,60.0,0.9538551225906208,0.003731546748214448
3,rf_all_t100,random_forest,all,,0.941759545967019,0.010269753332637794
3,rf_chi2_k20_t100,random_forest,chi2,20.0,0.9411257070474862,0.004353052780305204
3,et_chi2_k20_t100,extra_trees,chi2,20.0,0.9374539080598421,0.007890281861915904
3,xgb_chi2_k20_t100_d6,xgboost,chi2,20.0,0.9481200486547889,0.009671988045341565
3,rf_chi2_k40_t100,random_forest,chi2,40.0,0.9428010138661133,0.004008601428044866
3,et_chi2_k40_t100,extra_trees,chi2,40.0,0.9443528487066857,0.011338234555379722
3,xgb_chi2_k40_t100_d6,xgboost,chi2,40.0,0.9513569072570404,0.005391191805625205
3,rf_chi2_k60_t100,random_forest,chi2,60.0,0.9459912117699089,0.0074374094431190795
3,et_chi2_k60_t100,extra_trees,chi2,60.0,0.9426898476607044,0.008560107921092946
3,xgb_chi2_k60_t100_d6,xgboost,chi2,60.0,0.9554292893630102,0.006483677527177344
