fold,config,model,mode,k,inner_macro_f1
1,rf_all_t100,random_forest,all,,0.9479108288906287
1,rf_chi2_k20_t100,random_forest,chi2,20.0,0.949557719955408
1,rf_chi2_k40_t100,random_forest,chi2,40.0,0.9510930052306383
1,rf_chi2_k60_t100,random_forest,chi2,60.0,0.9468006076368086
1,et_chi2_k20_t100,extra_trees,chi2,20.0,0.9398773873186225
1,et_chi2_k40_t100,extra_trees,chi2,40.0,0.9356386420404954
1,et_chi2_k60_t100,extra_trees,chi2,60.0,0.9409290683463057
1,xgb_chi2_k20_t100_d6,xgboost,chi2,20.0,0.9522220022395884
1,xgb_chi2_k40_t100_d6,xgboost,chi2,40.0,0.954898334253269
1,xgb_chi2_k60_t100_d6,xgboost,chi2,60.0,0.9548493354140165
2,rf_all_t100,random_forest,all,,0.939590563409074
2,rf_chi2_k20_t100,random_forest,chi2,20.0,0.9372855834506325
2,rf_chi2_k40_t100,random_forest,chi2,40.0,0.9381575107525603
2,rf_chi2_k60_t100,random_forest,chi2,60.0,0.940139817755686
2,et_chi2_k20_t100,extra_trees,chi2,20.0,0.9337175882177825
2,et_chi2_k40_t100,extra_trees,chi2,40.0,0.9351460019191058
2,et_chi2_k60_t100,extra_trees,chi2,60.0,0.935004328209284
2,xgb_chi2_k20_t100_d6,xgboost,chi2,20.0,0.9386019279796548
2,xgb_chi2_k40_t100_d6,xgboost,chi2,40.0,0.9492945865805451
2,xgb_chi2_k60_t100_d6,xgboost,chi2,60.0,0.9538551225906208
3,rf_all_t100,random_forest,all,,0.941759545967019
3,rf_chi2_k20_t100,random_forest,chi2,20.0,0.9411257070474862
3,rf_chi2_k40_t100,random_forest,chi2,40.0,0.9428010138661133
3,rf_chi2_k60_t100,random_forest,chi2,60.0,0.9459912117699089
3,et_chi2_k20_t100,extra_trees,chi2,20.0,0.9374539080598421
3,et_chi2_k40_t100,extra_trees,chi2,40.0,0.9443528487066857
3,et_chi2_k60_t100,extra_trees,chi2,60.0,0.9426898476607044
3,xgb_chi2_k20_t100_d6,xgboost,chi2,20.0,0.9481200486547889
3,xgb_chi2_k40_t100_d6,xgboost,chi2,40.0,0.9513569072570404
3,xgb_chi2_k60_t100_d6,xgboost,chi2,60.0,0.9554292893630102
