fold,config,model,mode,k,inner_macro_f1
1,rf_all_t100,random_forest,all,,0.9483261048502066
1,rf_chi2_k20_t100,random_forest,chi2,20.0,0.9487654204061426
1,rf_chi2_k40_t100,random_forest,chi2,40.0,0.9506561418054372
1,rf_chi2_k60_t100,random_forest,chi2,60.0,0.95147852184828
1,et_chi2_k20_t100,extra_trees,chi2,20.0,0.93863171853168
1,et_chi2_k40_t100,extra_trees,chi2,40.0,0.9416593117831372
1,et_chi2_k60_t100,extra_trees,chi2,60.0,0.9402942282973191
1,xgb_chi2_k20_t100_d6,xgboost,chi2,20.0,0.9567577117996712
1,xgb_chi2_k40_t100_d6,xgboost,chi2,40.0,0.9576590411548516
1,xgb_chi2_k60_t100_d6,xgboost,chi2,60.0,0.9619572952143102
2,rf_all_t100,random_forest,all,,0.9527381689757041
2,rf_chi2_k20_t100,random_forest,chi2,20.0,0.9496184192454278
2,rf_chi2_k40_t100,random_forest,chi2,40.0,0.95450740145752
2,rf_chi2_k60_t100,random_forest,chi2,60.0,0.9509703543717715
2,et_chi2_k20_t100,extra_trees,chi2,20.0,0.9398118487038563
2,et_chi2_k40_t100,extra_trees,chi2,40.0,0.9393570605958752
2,et_chi2_k60_t100,extra_trees,chi2,60.0,0.9424747079076955
2,xgb_chi2_k20_t100_d6,xgboost,chi2,20.0,0.9619886212765995
2,xgb_chi2_k40_t100_d6,xgboost,chi2,40.0,0.9628896114006658
2,xgb_chi2_k60_t100_d6,xgboost,chi2,60.0,0.9589017061809756
3,rf_all_t100,random_forest,all,,0.9377730154866709
3,rf_chi2_k20_t100,random_forest,chi2,20.0,0.940853724604218
3,rf_chi2_k40_t100,random_forest,chi2,40.0,0.9382498747151438
3,rf_chi2_k60_t100,random_forest,chi2,60.0,0.9403924851879696
3,et_chi2_k20_t100,extra_trees,chi2,20.0,0.933399184280137
3,et_chi2_k40_t100,extra_trees,chi2,40.0,0.9363966331858697
3,et_chi2_k60_t100,extra_trees,chi2,60.0,0.9360033494689134
3,xgb_chi2_k20_t100_d6,xgboost,chi2,20.0,0.9524122386717592
3,xgb_chi2_k40_t100_d6,xgboost,chi2,40.0,0.949826534555929
3,xgb_chi2_k60_t100_d6,xgboost,chi2,60.0,0.9527537956701199
4,rf_all_t100,random_forest,all,,0.9457883053535046
4,rf_chi2_k20_t100,random_forest,chi2,20.0,0.9435074771973909
4,rf_chi2_k40_t100,random_forest,chi2,40.0,0.9462243355467858
4,rf_chi2_k60_t100,random_forest,chi2,60.0,0.9497375357494401
4,et_chi2_k20_t100,extra_trees,chi2,20.0,0.936415656547831
4,et_chi2_k40_t100,extra_trees,chi2,40.0,0.9350152133494335
4,et_chi2_k60_t100,extra_trees,chi2,60.0,0.9389782132846621
4,xgb_chi2_k20_t100_d6,xgboost,chi2,20.0,0.9509756247357467
4,xgb_chi2_k40_t100_d6,xgboost,chi2,40.0,0.9536516222764844
4,xgb_chi2_k60_t100_d6,xgboost,chi2,60.0,0.956703929353954
5,rf_all_t100,random_forest,all,,0.9570457493130503
5,rf_chi2_k20_t100,random_forest,chi2,20.0,0.9553468564399982
5,rf_chi2_k40_t100,random_forest,chi2,40.0,0.9566910874732236
5,rf_chi2_k60_t100,random_forest,chi2,60.0,0.9579915922125212
5,et_chi2_k20_t100,extra_trees,chi2,20.0,0.9446865375992314
5,et_chi2_k40_t100,extra_trees,chi2,40.0,0.9481726714553615
5,et_chi2_k60_t100,extra_trees,chi2,60.0,0.9465092864027529
5,xgb_chi2_k20_t100_d6,xgboost,chi2,20.0,0.9615514900660299
5,xgb_chi2_k40_t100_d6,xgboost,chi2,40.0,0.9651004936181686
5,xgb_chi2_k60_t100_d6,xgboost,chi2,60.0,0.967188952780336
