feature,chi2,p_value,rank
flag_S0,57994.59957908789,0.0,1
dst_host_srv_serror_rate,56388.98605409957,0.0,2
srv_serror_rate,55160.310536861616,0.0,3
serror_rate,54740.24216659218,0.0,4
dst_host_serror_rate,54614.0282606082,0.0,5
logged_in,38340.77361896839,0.0,6
service_eco_i,34917.64685032548,0.0,7
flag_SF,32830.05391529579,0.0,8
dst_host_srv_count,27413.445125625323,0.0,9
service_http,27144.322186262765,0.0,10
dst_host_same_srv_rate,25325.559197025705,0.0,11
same_srv_rate,25179.113853521478,0.0,12
dst_host_same_src_port_rate,24671.80082373093,0.0,13
service_private,22119.540337806186,0.0,14
flag_RSTR,18821.105625014785,0.0,15
protocol_type_icmp,17065.142227156935,0.0,16
dst_host_diff_srv_rate,15925.465072908575,0.0,17
count,15561.865247401078,0.0,18
srv_rerror_rate,13736.776814161141,0.0,19
dst_host_srv_rerror_rate,13588.298243875142,0.0,20
rerror_rate,13448.305139497681,0.0,21
dst_host_rerror_rate,10776.33023143352,0.0,22
is_guest_login,10463.487687061994,0.0,23
dst_host_srv_diff_host_rate,10109.220493611749,0.0,24
root_shell,9755.949340419205,0.0,25
srv_diff_host_rate,9560.159024900948,0.0,26
diff_srv_rate,8230.718898424468,0.0,27
service_domain_u,7839.437262130371,0.0,28
service_ftp_data,7285.878049990149,0.0,29
service_ftp,6563.848241024625,0.0,30
protocol_type_udp,6439.327265313871,0.0,31
dst_host_count,6152.3833091760125,0.0,32
flag_REJ,5747.077897062972,0.0,33
service_other,5631.704755136192,0.0,34
service_smtp,5349.46395837116,0.0,35
hot,4295.83787146886,0.0,36
service_ecr_i,4161.5374262677515,0.0,37
duration,3417.498796596337,0.0,38
flag_SH,2537.0980287536313,0.0,39
protocol_type_tcp,2073.912480472957,0.0,40
service_telnet,1692.0654587575948,0.0,41
wrong_fragment,1660.399242274031,0.0,42
service_Z39_50,1443.935016999089,2.0540628357203e-311,43
flag_RSTO,1309.322765423011,3.1684990298614746e-282,44
service_uucp,1301.2174813424476,1.812178400712867e-280,45
service_courier,1236.5810806620873,1.8694961170310983e-266,46
service_bgp,1179.4219831161347,4.60410798064232e-254,47
num_shells,1165.110880434685,5.827322221271214e-251,48
service_iso_tsap,1134.3805422016833,2.6723224790634066e-244,49
service_uucp_path,1132.8639689619147,5.696768593297447e-244,50
service_whois,1091.9976448773136,4.108759115700556e-235,51
service_nnsp,1055.5149049862948,3.3197631542815293e-227,52
service_imap4,1018.8834415181421,2.885479459483029e-219,53
service_vmnet,1017.6807038185808,5.2586855371838465e-219,54
flag_RSTOS0,1010.1793925876314,2.2210561030809177e-217,55
service_csnet_ns,887.6292966760394,7.978593147803288e-191,56
service_http_443,886.5872877895293,1.3417966212320258e-190,57
service_supdup,866.739612359448,2.6775906431560196e-186,58
service_ctf,859.1485190989449,1.1811840486941907e-184,59
service_discard,847.094462448447,4.8272597322506015e-182,60
service_daytime,817.7314983240076,1.1079060329964406e-175,61
service_efs,808.273189889556,1.2396764583724362e-173,62
service_exec,779.0763144748666,2.61451593863816e-167,63
service_gopher,750.2765075078025,4.5172481411092365e-161,64
service_systat,746.3128960764768,3.2603705710469884e-160,65
service_hostnames,735.3953319707555,7.544023666929431e-158,66
service_link,725.2546486237009,1.1847059627290196e-155,67
service_klogin,712.79061173241,5.92426027073007e-153,68
service_login,701.2631899289739,1.856611416168366e-150,69
service_domain,689.8069852604057,5.613985785895577e-148,70
service_finger,682.9491021990132,1.7144114248500532e-146,71
service_ldap,677.8063944612802,2.2262134027961006e-145,72
service_name,675.7670182254582,6.153283173969458e-145,73
service_echo,667.7887555659131,3.28414290805177e-143,74
service_mtp,655.2867224006104,1.6711716598543718e-140,75
service_time,647.879929361578,6.706006964495359e-139,76
service_netbios_dgm,640.212101988876,3.064480899949968e-137,77
service_sunrpc,603.3354266994877,2.939969463168474e-129,78
service_auth,576.4311090976672,1.953424845429186e-123,79
service_netbios_ssn,565.9392137233946,3.6402654504009526e-121,80
service_netstat,549.3058830202856,1.4457915923114207e-117,81
service_netbios_ns,549.1663985252877,1.5498314674705212e-117,82
service_urp_i,513.077621387553,9.941520387451775e-110,83
num_failed_logins,509.21423481170376,6.809367913757755e-109,84
service_kshell,484.94610009355404,1.207100002240643e-103,85
service_nntp,443.91060845617596,9.000237161324769e-95,86
service_ssh,407.27438041795415,7.455496076788276e-87,87
service_sql_net,369.14444405511534,1.2877021736800676e-78,88
srv_count,357.9816750195103,3.315258185653435e-76,89
flag_S1,303.29901212445066,2.104513602663333e-64,90
flag_OTH,246.73074353669136,3.2945739147069736e-52,91
service_IRC,159.13205092959458,2.2442236407913376e-33,92
service_ntp_u,146.26375421325568,1.2859803083370304e-30,93
service_pop_2,103.17790162385708,2.070607780635071e-21,94
service_rje,102.19539926549815,3.352505963480774e-21,95
service_remote_job,93.48818576017625,2.389010436158238e-19,96
service_printer,91.48209119726542,6.376975131743327e-19,97
num_file_creations,85.87469341708439,9.894209094657956e-18,98
urgent,84.59699338392525,1.8470094265475602e-17,99
flag_S2,83.45845922655494,3.2207047044907646e-17,100
service_shell,64.63707646940416,3.0684787574698977e-13,101
su_attempted,59.09945076016234,4.484609538179899e-12,102
flag_S3,51.78086626726609,1.5329414009360837e-10,103
service_pm_dump,49.0378345916326,5.733657681972614e-10,104
num_access_files,48.639407885595524,6.942971769518435e-10,105
service_X11,47.35992803208569,1.2831186525601447e-09,106
service_pop_3,32.72902728814198,1.3572024944563604e-06,107
src_bytes,25.097750165261115,4.808349598803013e-05,108
service_aol,19.61513383665304,0.0005947791552624183,109
service_harvest,19.61513383665304,0.0005947791552624183,110
service_http_8001,19.61513383665304,0.0005947791552624183,111
land,14.214346973745394,0.0066414550766111585,112
dst_bytes,13.154396023975206,0.010545515968591065,113
service_http_2784,9.80756691832652,0.04379699595260935,114
service_urh_i,8.706175846027124,0.06887828298925498,115
service_red_i,6.9649406768217,0.13775258997446313,116
num_root,4.3782835959589805,0.357224820459853,117
num_compromised,3.634844601042137,0.457673188672714,118
service_tftp_u,2.611852753808138,0.6247249023884411,119
service_tim_i,0.931438329310747,0.9200077866164271,120
is_host_login,0.8706175846027125,0.9287378362259271,121
num_outbound_cmds,0.0,1.0,122
