model,label,precision,recall,f1-score,support
decision_tree_all_seed2024,Bot,0.9901960784313726,1.0,0.9950738916256158,101.0
decision_tree_all_seed2024,Brute Force,0.8598130841121495,0.9108910891089108,0.8846153846153846,101.0
decision_tree_all_seed2024,DoS/DDoS,0.9702970297029704,0.9702970297029704,0.9702970297029704,101.0
decision_tree_all_seed2024,Normal,0.979591836734694,0.9504950495049505,0.964824120603015,101.0
decision_tree_all_seed2024,Web Attack,0.9072164948453608,0.8712871287128713,0.8888888888888888,101.0
decision_tree_all_seed3407,Bot,0.9901960784313726,1.0,0.9950738916256158,101.0
decision_tree_all_seed3407,Brute Force,0.8518518518518519,0.9108910891089108,0.8803827751196173,101.0
decision_tree_all_seed3407,DoS/DDoS,0.98,0.9702970297029704,0.9751243781094528,101.0
decision_tree_all_seed3407,Normal,0.979591836734694,0.9504950495049505,0.964824120603015,101.0
decision_tree_all_seed3407,Web Attack,0.9072164948453608,0.8712871287128713,0.8888888888888888,101.0
decision_tree_all_seed42,Bot,0.9901960784313726,1.0,0.9950738916256158,101.0
decision_tree_all_seed42,Brute Force,0.8518518518518519,0.9108910891089108,0.8803827751196173,101.0
decision_tree_all_seed42,DoS/DDoS,0.98,0.9702970297029704,0.9751243781094528,101.0
decision_tree_all_seed42,Normal,0.979591836734694,0.9504950495049505,0.964824120603015,101.0
decision_tree_all_seed42,Web Attack,0.9072164948453608,0.8712871287128713,0.8888888888888888,101.0
decision_tree_chi2_seed2024,Bot,0.9901960784313726,1.0,0.9950738916256158,101.0
decision_tree_chi2_seed2024,Brute Force,0.8518518518518519,0.9108910891089108,0.8803827751196173,101.0
decision_tree_chi2_seed2024,DoS/DDoS,0.9801980198019802,0.9801980198019802,0.9801980198019802,101.0
decision_tree_chi2_seed2024,Normal,0.9896907216494846,0.9504950495049505,0.9696969696969696,101.0
decision_tree_chi2_seed2024,Web Attack,0.9072164948453608,0.8712871287128713,0.8888888888888888,101.0
decision_tree_chi2_seed3407,Bot,0.9901960784313726,1.0,0.9950738916256158,101.0
decision_tree_chi2_seed3407,Brute Force,0.8679245283018868,0.9108910891089108,0.8888888888888888,101.0
decision_tree_chi2_seed3407,DoS/DDoS,0.9797979797979798,0.9603960396039604,0.97,101.0
decision_tree_chi2_seed3407,Normal,0.98,0.9702970297029704,0.9751243781094528,101.0
decision_tree_chi2_seed3407,Web Attack,0.8979591836734694,0.8712871287128713,0.8844221105527639,101.0
decision_tree_chi2_seed42,Bot,0.9901960784313726,1.0,0.9950738916256158,101.0
decision_tree_chi2_seed42,Brute Force,0.8761904761904762,0.9108910891089108,0.8932038834951457,101.0
decision_tree_chi2_seed42,DoS/DDoS,0.98,0.9702970297029704,0.9751243781094528,101.0
decision_tree_chi2_seed42,Normal,0.98,0.9702970297029704,0.9751243781094528,101.0
decision_tree_chi2_seed42,Web Attack,0.9081632653061223,0.8811881188118812,0.8944723618090452,101.0
random_forest_all_seed2024,Bot,0.971153846153846,1.0,0.9853658536585366,101.0
random_forest_all_seed2024,Brute Force,0.9473684210526316,0.8910891089108911,0.9183673469387756,101.0
random_forest_all_seed2024,DoS/DDoS,0.98,0.9702970297029704,0.9751243781094528,101.0
random_forest_all_seed2024,Normal,0.97,0.9603960396039604,0.965174129353234,101.0
random_forest_all_seed2024,Web Attack,0.8962264150943396,0.9405940594059404,0.9178743961352656,101.0
random_forest_all_seed3407,Bot,0.971153846153846,1.0,0.9853658536585366,101.0
random_forest_all_seed3407,Brute Force,0.9473684210526316,0.8910891089108911,0.9183673469387756,101.0
random_forest_all_seed3407,DoS/DDoS,0.98,0.9702970297029704,0.9751243781094528,101.0
random_forest_all_seed3407,Normal,0.97,0.9603960396039604,0.965174129353234,101.0
random_forest_all_seed3407,Web Attack,0.8962264150943396,0.9405940594059404,0.9178743961352656,101.0
