model,label,precision,recall,f1-score,support
random_forest_all_seed42,Bot,0.971153846153846,1.0,0.9853658536585366,101.0
random_forest_all_seed42,Brute Force,0.9479166666666666,0.900990099009901,0.9238578680203046,101.0
random_forest_all_seed42,DoS/DDoS,0.98989898989899,0.9702970297029704,0.98,101.0
random_forest_all_seed42,Normal,0.9702970297029704,0.9702970297029704,0.9702970297029704,101.0
random_forest_all_seed42,Web Attack,0.9047619047619048,0.9405940594059404,0.9223300970873788,101.0
random_forest_chi2_seed42,Bot,0.971153846153846,1.0,0.9853658536585366,101.0
random_forest_chi2_seed42,Brute Force,0.9473684210526316,0.8910891089108911,0.9183673469387756,101.0
random_forest_chi2_seed42,DoS/DDoS,0.98989898989899,0.9702970297029704,0.98,101.0
random_forest_chi2_seed42,Normal,0.98,0.9702970297029704,0.9751243781094528,101.0
random_forest_chi2_seed42,Web Attack,0.8878504672897196,0.9405940594059404,0.9134615384615384,101.0
weighted_rf_chi2_seed42,Bot,0.971153846153846,1.0,0.9853658536585366,101.0
weighted_rf_chi2_seed42,Brute Force,0.9473684210526316,0.8910891089108911,0.9183673469387756,101.0
weighted_rf_chi2_seed42,DoS/DDoS,0.98989898989899,0.9702970297029704,0.98,101.0
weighted_rf_chi2_seed42,Normal,0.98,0.9702970297029704,0.9751243781094528,101.0
weighted_rf_chi2_seed42,Web Attack,0.8878504672897196,0.9405940594059404,0.9134615384615384,101.0
