method,thread_mode,batch_size,count,p50_ms,p95_ms,p99_ms,mean_ms
all,单线程,1,30,10.066252376245668,11.541196227740464,11.789654033671198,10.298347722778551
all,单线程,32,30,0.3235628712855481,0.3991419307243234,0.5227876296889333,0.3389761782164467
all,单线程,128,30,0.0926433663612397,0.1047050395817956,0.1676189148588807,0.0953984620486057
all,单线程,512,30,0.0303470297361548,0.0363036930776606,0.0376798673181352,0.0307801452203324
all,多线程,1,30,40.09704643564811,77.53795401979575,503.0623059247736,64.72906342574252
all,多线程,32,30,1.1239999010213788,1.218365000011653,1.2238198653535484,1.1331551947201397
all,多线程,128,30,0.3496730693219469,0.4101626039425021,0.4598108059231026,0.3605791617134161
all,多线程,512,30,0.0861416831335956,0.0898502376259046,0.0928401049620721,0.0862163300326296
chi2,单线程,1,30,9.459020098985985,11.8089179108657,12.352099035641796,9.721947841583704
chi2,单线程,32,30,0.3376096039826032,0.3893158118768438,0.4158713702961922,0.3400063762409004
chi2,单线程,128,30,0.0866879208248551,0.0939833366174923,0.1007649742330811,0.0864521122138744
chi2,单线程,512,30,0.0285737623349938,0.0341003069061656,0.0345304356438412,0.0294498943784443
chi2,多线程,1,30,35.72579287130865,45.12771488118935,292.883388293067,48.40014399340139
chi2,多线程,32,30,1.1207264356458062,1.4136694950203748,1.529460186124341,1.157895900991441
chi2,多线程,128,30,0.449231980192143,0.9393482673296584,177.73828781978364,8.820535953795591
chi2,多线程,512,30,0.3417250495127374,2.7963377326400707,14688.662133467322,690.2460962970276
