feature,selection_count,mean_rank,mean_chi2_score,selection_rate
Bwd Packet Length Mean,5,1.0,624.9004878011722,1.0
Avg Bwd Segment Size,5,2.0,624.9004878011722,1.0
Idle Max,5,3.0,522.4631914915906,1.0
Idle Mean,5,4.0,501.900974614153,1.0
Idle Min,5,5.0,484.38600164148886,1.0
Bwd Packet Length Max,5,6.0,466.94039390224026,1.0
Bwd Packet Length Std,5,7.4,431.021967232639,1.0
Fwd IAT Max,5,9.0,407.62627733886313,1.0
Init_Win_bytes_backward,5,9.0,405.4072226443466,1.0
Packet Length Mean,5,9.2,404.776162028502,1.0
Flow IAT Max,5,10.4,406.9279665180267,1.0
Average Packet Size,5,12.0,387.6666813974685,1.0
Packet Length Std,5,13.0,342.68235100085894,1.0
Fwd IAT Total,5,14.0,309.4128680074585,1.0
Flow Duration,5,15.0,298.08728444698846,1.0
URG Flag Count,5,16.2,282.51608811461205,1.0
Fwd IAT Std,5,17.0,276.2313200707558,1.0
Destination Port,5,17.8,270.3679851284587,1.0
FIN Flag Count,5,19.2,242.78629996552112,1.0
PSH Flag Count,5,19.8,228.83163529398763,1.0
Init_Win_bytes_forward,5,21.4,202.78250190355064,1.0
Max Packet Length,5,21.6,198.7784845116061,1.0
Packet Length Variance,5,24.0,188.5406382484265,1.0
Bwd Packet Length Min,5,24.6,183.38725087657716,1.0
Fwd PSH Flags,5,25.4,175.6163818194751,1.0
ACK Flag Count,5,26.4,172.7709671352576,1.0
SYN Flag Count,5,26.4,175.6163818194751,1.0
min_seg_size_forward,5,26.6,173.3235306758968,1.0
Flow IAT Std,5,28.6,160.75155031127662,1.0
Bwd IAT Max,5,30.0,104.76284841614392,1.0
Bwd IAT Std,5,31.2,82.5222988958092,1.0
Bwd IAT Total,5,31.8,77.28601431355104,1.0
Fwd IAT Mean,5,33.2,59.016347166199566,1.0
Fwd Packet Length Min,5,34.0,57.489774581226186,1.0
Min Packet Length,5,35.2,55.69740429548104,1.0
Idle Std,5,35.8,51.4303001393616,1.0
Flow IAT Mean,5,37.4,38.75497293222983,1.0
Bwd Header Length,5,38.0,38.61010678452136,1.0
Down/Up Ratio,5,38.4,37.33580617561866,1.0
Total Length of Bwd Packets,5,41.0,26.305348494185136,1.0
Subflow Bwd Bytes,5,42.0,26.305348494185136,1.0
Active Mean,5,43.0,25.286939238101404,1.0
Fwd Packets/s,5,43.6,24.132226273544845,1.0
Bwd IAT Mean,5,43.8,24.32662417878955,1.0
Flow Packets/s,5,43.8,24.367684837574465,1.0
Total Backward Packets,5,46.6,20.426922508164957,1.0
Active Min,5,46.8,21.21318838429623,1.0
Subflow Bwd Packets,5,47.6,20.426922508164957,1.0
Bwd Packets/s,5,49.0,18.359562156705792,1.0
Active Max,5,49.8,18.073415285492665,1.0
Fwd Header Length,5,50.4,17.283125234688516,1.0
Fwd Header Length.1,5,51.4,17.283125234688516,1.0
Fwd IAT Min,5,53.8,13.475917179728883,1.0
Bwd IAT Min,5,54.8,12.604291449656936,1.0
Fwd Packet Length Mean,5,55.6,10.52460617044795,1.0
Avg Fwd Segment Size,5,56.6,10.52460617044795,1.0
Flow IAT Min,4,56.25,9.756024685399392,0.8
Total Length of Fwd Packets,3,56.66666666666666,10.550024752695554,0.6
Subflow Fwd Bytes,3,57.66666666666666,10.550024752695554,0.6
act_data_pkt_fwd,3,58.0,9.14202339966553,0.6
Total Fwd Packets,2,57.5,8.97119115394688,0.4
Subflow Fwd Packets,2,58.5,8.97119115394688,0.4
Fwd Packet Length Max,2,59.0,9.291362468676958,0.4
Fwd Packet Length Std,1,60.0,8.80047914528552,0.2
