method,seed,metric,low,point,high,n_bootstrap,confidence
all,2024,log_loss,0.1018843191199931,0.1332860172618971,0.1697055915675348,3000,0.95
all,2024,brier_macro,0.0098735236295617,0.0137826516231427,0.0184272784930189,3000,0.95
all,2024,ece,0.0165135912659467,0.0260834248555877,0.0420223645269166,3000,0.95
all,3407,log_loss,0.1005900182019763,0.1346280508806431,0.1701462702460477,3000,0.95
all,3407,brier_macro,0.0096743385513657,0.0138805266860068,0.0182847155829109,3000,0.95
all,3407,ece,0.018416283362449,0.0259322940147193,0.0431941500630877,3000,0.95
all,42,log_loss,0.1050745099471878,0.1378911416543172,0.1745963180004794,3000,0.95
all,42,brier_macro,0.0100301854731065,0.0142122138536899,0.0188683225976162,3000,0.95
all,42,ece,0.0172060465103447,0.0253802488414485,0.0435837196559076,3000,0.95
anova,2024,log_loss,0.108461982538243,0.1468794519801031,0.1908699491974248,3000,0.95
anova,2024,brier_macro,0.010218634535341,0.0144872463433096,0.0194848827242791,3000,0.95
anova,2024,ece,0.0174854571491933,0.0261025898207279,0.0425159766737323,3000,0.95
anova,3407,log_loss,0.108976232926337,0.1524552025162569,0.1992101781641836,3000,0.95
anova,3407,brier_macro,0.0103159496895214,0.0149672730789873,0.0199955828238317,3000,0.95
anova,3407,ece,0.0173302963485632,0.024801015528041,0.042719556012348,3000,0.95
anova,42,log_loss,0.1100966675876643,0.1517619386847233,0.1971125034885328,3000,0.95
anova,42,brier_macro,0.0104880584023155,0.0150775965090192,0.0200124543883405,3000,0.95
anova,42,ece,0.0136980493241569,0.0195090295609875,0.0390673720384162,3000,0.95
chi2,2024,log_loss,0.1022843964808634,0.1350870305449137,0.1736395572014737,3000,0.95
chi2,2024,brier_macro,0.0098928077360528,0.0139117799851119,0.0185646374405521,3000,0.95
chi2,2024,ece,0.0194441414123268,0.0265452177284986,0.0435839853582478,3000,0.95
chi2,3407,log_loss,0.0983384528825861,0.1327574475832277,0.1686406014481183,3000,0.95
chi2,3407,brier_macro,0.0093960684593991,0.0136502688318158,0.0180980385166681,3000,0.95
chi2,3407,ece,0.0168600967012064,0.0237137805345759,0.0410670780611334,3000,0.95
chi2,42,log_loss,0.1027454792492862,0.1353154470085654,0.1724765454777473,3000,0.95
chi2,42,brier_macro,0.0100275971097076,0.0142395343694987,0.0189908890316048,3000,0.95
chi2,42,ece,0.0152286233340252,0.0227978367015803,0.0406733943878603,3000,0.95
mutual_info,2024,log_loss,0.1017387896479903,0.1345267917002063,0.1733548158590364,3000,0.95
mutual_info,2024,brier_macro,0.0099541978369417,0.0139293832684512,0.0186343080391714,3000,0.95
mutual_info,2024,ece,0.0163179815466682,0.0261314019504858,0.0421403648714528,3000,0.95
mutual_info,3407,log_loss,0.1004883988862014,0.1344629976095381,0.1706666910845592,3000,0.95
mutual_info,3407,brier_macro,0.0099339706133262,0.0141072183289688,0.0186686779790031,3000,0.95
mutual_info,3407,ece,0.0165817346651865,0.0240328214398154,0.0420247101925557,3000,0.95
mutual_info,42,log_loss,0.0997236175394894,0.1326482955212111,0.1694002080212707,3000,0.95
mutual_info,42,brier_macro,0.0096793115998943,0.013872336095173,0.0185199500336013,3000,0.95
mutual_info,42,ece,0.0152440627630771,0.0235012527712702,0.0412992955764276,3000,0.95
