method,condition,accuracy,accuracy,balanced_accuracy,balanced_accuracy,macro_f1,macro_f1,relative_macro_f1_drop,relative_macro_f1_drop
,,mean,std,mean,std,mean,std,mean,std
all,clean,0.9564356435643564,,0.9564356435643564,,0.9565254052877816,,0.0,
all,feature_mask_5pct,0.9528712871287128,0.0038261060716011995,0.9528712871287128,0.0038261060716011995,0.9529931811130867,0.003810778184785314,0.00369276566536361,0.003983980105200392
all,gaussian_noise_1pct,0.7021782178217821,0.018836761960910327,0.7021782178217821,0.01883676196091034,0.7038989207365803,0.021503179658503575,0.2641084943009909,0.02248051075238728
anova,clean,0.9564356435643564,,0.9564356435643564,,0.9565383111274114,,0.0,
anova,feature_mask_5pct,0.9536633663366336,0.0026730635948933007,0.9536633663366336,0.0026730635948933007,0.9538016818153091,0.002653296400120765,0.0028609719864505245,0.0027738527241982776
anova,gaussian_noise_1pct,0.7116831683168316,0.015287333913361414,0.7116831683168316,0.015287333913361423,0.7115480511152364,0.018069396809296877,0.25612174354357053,0.01889040574652949
chi2,clean,0.9564356435643564,,0.9564356435643564,,0.9565383111274114,,0.0,
chi2,feature_mask_5pct,0.9554455445544555,0.003130967980364733,0.9554455445544555,0.003130967980364733,0.9555286731302111,0.003127887873688166,0.0010555123464007078,0.003270007941450349
chi2,gaussian_noise_1pct,0.6728712871287129,0.017902275137146748,0.6728712871287128,0.01790227513714676,0.6679556790543093,0.021675362226895444,0.30169479749636785,0.02266021337017653
mutual_info,clean,0.9584158415841584,,0.9584158415841584,,0.9585207729615968,,0.0,
mutual_info,feature_mask_5pct,0.9566336633663365,0.004422934803366624,0.9566336633663365,0.004422934803366624,0.956730613611027,0.004384488471127274,0.001867627078167985,0.004574223735997148
mutual_info,gaussian_noise_1pct,0.6691089108910891,0.0157712962139932,0.669108910891089,0.01577129621399316,0.6641023732254469,0.020836852472082553,0.3071591227245586,0.021738550754306227
