label,precision,precision,recall,recall,f1-score,f1-score,support,support
,mean,std,mean,std,mean,std,mean,std
Analysis,0.011488487501593,0.006876320355941679,0.02904972919743967,0.01835021679328826,0.016460962582527567,0.01000968272589064,677.0,0.0
Backdoor,0.0354288006304679,0.003934823124304816,0.32647226986849626,0.04742123336705305,0.06391597016465783,0.0073071328308288944,583.0,0.0
DoS,0.3007955862086384,0.017284913513979382,0.20559223934132223,0.00953882936418688,0.2438483091803153,0.0037832729046718507,4089.0,0.0
Exploits,0.7626040577769674,0.0020840859909923557,0.6402263744160978,0.0006288178224937634,0.6960759806772953,0.0007057530761657208,11132.0,0.0
Fuzzers,0.2662173033833754,0.003346938492446356,0.6636423622566809,0.012445619342698808,0.37998652968573615,0.004826801780473158,6062.0,0.0
Generic,0.9999633135225245,3.177142161342919e-05,0.9629590376768586,0.00010598272481579518,0.9811123790810368,6.867957369697464e-05,18871.0,0.0
Normal,0.9847021143310126,0.0010737573574441924,0.657045045045045,0.002865034841124474,0.7881749134128443,0.0022246107093719532,37000.0,0.0
Reconnaissance,0.8511182093371553,0.0045997268347047,0.8327612509534706,0.00016514595800617732,0.8418353218474938,0.002180396508231121,3496.0,0.0
Shellcode,0.1958243589723452,0.011998770874028293,0.8747795414462081,0.00850410120017008,0.3198580811453024,0.015514239098172133,378.0,0.0
Worms,0.5069239703386045,0.05738565875203676,0.4848484848484848,0.052486388108147805,0.4923057830727227,0.019072318472144453,44.0,0.0
