label,precision,precision,recall,recall,f1-score,f1-score,support,support
,mean,std,mean,std,mean,std,mean,std
Analysis,0.034107995526989864,0.023086355719481873,0.040374199901526305,0.03423995795315352,0.03671828530319004,0.027900888592725197,677.0,0.0
Backdoor,0.040847828127079266,0.01500246693923124,0.10806174957118349,0.050796202041032024,0.05917378213534933,0.023542873654424278,583.0,0.0
DoS,0.586824298558678,0.0584484631935502,0.054047444362924905,0.001527267791244422,0.0989124156952942,0.002276576535065614,4089.0,0.0
Exploits,0.5699972693747509,0.0019534475675636446,0.8876212720086238,0.0020719659710152823,0.6942007558342754,0.0014009549434199288,11132.0,0.0
Fuzzers,0.3167684777884644,0.0029244711055116603,0.5794567249532608,0.0017483903107428454,0.4096095343935174,0.0025346947390679584,6062.0,0.0
Generic,0.9990678150414757,9.466559157885876e-05,0.9654672954975005,0.00021416204145654493,0.9819801948317245,6.50335519994808e-05,18871.0,0.0
Normal,0.9705204515446378,0.0011709567322963003,0.7621531531531532,0.0025116722889095763,0.8538051239942774,0.0011467696158636669,37000.0,0.0
Reconnaissance,0.9173277495290865,0.0007975031678786653,0.8061594202898551,0.0017477405396475094,0.8581572363566519,0.000858261604249197,3496.0,0.0
Shellcode,0.29703565159092277,0.015849566724675256,0.7248677248677248,0.011531478686615526,0.4211160916062877,0.01380687608176637,378.0,0.0
Worms,0.6156545209176788,0.015791203753101314,0.32575757575757575,0.047310590896957556,0.42429261559696335,0.03916346680186502,44.0,0.0
