model,label,precision,recall,f1-score,support,pred_count,predicted_as_normal_pct
rf_all,Analysis,0.0075093867334167,0.017725258493353,0.0105494505494505,677.0,1598,1.1816838995568686
rf_all,Backdoor,0.0332461710870377,0.3053173241852487,0.0599629442479366,583.0,5354,1.2006861063464838
rf_all,DoS,0.3036093418259023,0.2098312545854732,0.2481561822125813,4089.0,2826,0.293470286133529
rf_all,Shellcode,0.1843420322043309,0.8783068783068783,0.304726938962827,378.0,1801,0.5291005291005291
rf_all,Worms,0.5714285714285714,0.4545454545454545,0.5063291139240507,44.0,35,0.0
xgboost_chi2,Analysis,0.0570801317233809,0.0768094534711964,0.0654911838790932,677.0,911,2.9542097488921715
xgboost_chi2,Backdoor,0.0251572327044025,0.0548885077186964,0.0345013477088948,583.0,1272,0.17152658662092624
xgboost_chi2,DoS,0.5407407407407407,0.053558327219369,0.0974632843791722,4089.0,405,0.9537784299339692
xgboost_chi2,Shellcode,0.3149882903981265,0.7116402116402116,0.4366883116883117,378.0,854,0.5291005291005291
xgboost_chi2,Worms,0.631578947368421,0.2727272727272727,0.3809523809523809,44.0,19,2.272727272727273
