true_label,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,0.07680945347119646,0.03692762186115214,0.023633677991137372,0.8330871491875923,0.0,0.0,0.029542097488921712,0.0,0.0,0.0
Backdoor,0.08919382504288165,0.0548885077186964,0.0274442538593482,0.8078902229845626,0.003430531732418525,0.0,0.0017152658662092624,0.0,0.015437392795883362,0.0
DoS,0.020542920029347028,0.1371973587674248,0.05355832721936904,0.7390560039129371,0.019564685742235265,0.001222792858889704,0.009537784299339692,0.006358522866226461,0.012961604304230863,0.0
Exploits,0.013025512037369746,0.044915558749550846,0.005659360402443406,0.8897772188286023,0.01545095220984549,0.0004491555874955084,0.009881422924901186,0.01383399209486166,0.006647502694933525,0.00035932446999640676
Fuzzers,0.017815902342461234,0.012867040580666447,0.005443747937974266,0.23474100956779942,0.5778620917189047,0.0001649620587264929,0.10574067964368196,0.0028043549983503796,0.04256021115143517,0.0
Generic,0.0,0.00010598272481585502,0.0020666631339091726,0.026230724391924115,0.0042393089926342,0.9653436489852154,0.0005829049864872026,5.299136240792751e-05,0.0012717926977902601,0.00010598272481585502
Normal,0.012594594594594595,0.0,0.00035135135135135135,0.02472972972972973,0.1958108108108108,0.00010810810810810811,0.761054054054054,0.0014864864864864865,0.003837837837837838,2.7027027027027027e-05
Reconnaissance,0.0011441647597254005,0.020881006864988557,0.0011441647597254005,0.15560640732265446,0.004290617848970252,0.0002860411899313501,0.0014302059496567505,0.808066361556064,0.007151029748283753,0.0
Shellcode,0.0,0.0026455026455026454,0.0,0.15343915343915343,0.1164021164021164,0.0,0.005291005291005291,0.010582010582010581,0.7116402116402116,0.0
Worms,0.0,0.0,0.045454545454545456,0.6136363636363636,0.045454545454545456,0.0,0.022727272727272728,0.0,0.0,0.2727272727272727
