model,seed,accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1,macro_f1_ci_low,macro_f1_ci_high,test_samples
decision_tree_chi2,42,0.9524752475247524,0.9326732673267327,0.9702970297029703,0.9524495407372144,0.9335317430239848,0.9688741365385904,505
decision_tree_chi2,2024,0.9524752475247524,0.9326732673267327,0.9702970297029703,0.9525665774074705,0.9335189127871797,0.9696312058894502,505
decision_tree_chi2,3407,0.9504950495049505,0.9306930693069307,0.9683168316831683,0.9505863793876685,0.9299017344875672,0.9678997285819743,505
svm_all,42,0.9346534653465347,0.9128712871287129,0.9544554455445544,0.9343796304491964,0.9125754973177389,0.9550184049834594,505
svm_all,2024,0.9346534653465347,0.9108910891089109,0.9564356435643564,0.9343796304491964,0.9123859194778,0.9554274153576549,505
svm_all,3407,0.9346534653465347,0.9128712871287129,0.9544554455445544,0.9343796304491964,0.9116990127270366,0.9544750469237938,505
extra_trees_chi2,42,0.9485148514851485,0.9287128712871288,0.9663366336633663,0.9483173932519116,0.9277091409673609,0.9662005300330536,505
extra_trees_chi2,2024,0.9504950495049505,0.9306930693069307,0.9683168316831683,0.9502918407750185,0.9294102321812142,0.9681362702943486,505
extra_trees_chi2,3407,0.9485148514851485,0.9287128712871288,0.9663366336633663,0.948328350919726,0.9284433644614668,0.9663865976424705,505
random_forest_all,42,0.9564356435643564,0.9366336633663367,0.9742574257425742,0.9565254052877815,0.9377909862962983,0.972958572988236,505
random_forest_all,2024,0.9603960396039604,0.9425742574257425,0.9762376237623762,0.9605030012596144,0.942666157680147,0.9762363156546612,505
random_forest_all,3407,0.9564356435643564,0.9386138613861386,0.9742574257425742,0.9565254052877815,0.9373184701507165,0.9733479680099086,505
random_forest_chi2,42,0.9564356435643564,0.9386138613861386,0.9742574257425742,0.9565383111274114,0.9378470964203952,0.9727022930195414,505
random_forest_chi2,2024,0.9584158415841584,0.9405940594059405,0.9742574257425742,0.9585207729615967,0.9400497310699074,0.9746131553551944,505
random_forest_chi2,3407,0.9584158415841584,0.9405940594059405,0.9742574257425742,0.9585207729615967,0.9392857082299176,0.9744791825660869,505
weighted_rf_chi2,42,0.9564356435643564,0.9386138613861386,0.9742574257425742,0.9565383111274114,0.9378470964203952,0.9727022930195414,505
weighted_rf_chi2,2024,0.9584158415841584,0.9405940594059405,0.9742574257425742,0.9585207729615967,0.9400497310699074,0.9746131553551944,505
weighted_rf_chi2,3407,0.9584158415841584,0.9405940594059405,0.9742574257425742,0.9585207729615967,0.9392857082299176,0.9744791825660869,505
