model,seed,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,train_seconds,predict_seconds,feature_count,test_samples
decision_tree_chi2,42,0.9524752475247524,0.9524752475247524,0.9525701775855973,0.9524752475247524,0.9524495407372144,0.023662999999942258,0.000461199990240857,60,505
svm_all,42,0.9346534653465347,0.9346534653465346,0.9371670946754351,0.9346534653465346,0.9343796304491964,0.0380664000113029,0.013222099980339408,78,505
extra_trees_chi2,42,0.9485148514851485,0.9485148514851485,0.9505900112792869,0.9485148514851485,0.9483173932519116,0.12762660000589676,0.028858199977548793,60,505
random_forest_all,42,0.9564356435643564,0.9564356435643564,0.9572678527075531,0.9564356435643564,0.9565254052877815,0.21875440000439994,0.027386599977035075,78,505
random_forest_chi2,42,0.9564356435643564,0.9564356435643564,0.9571930307516734,0.9564356435643564,0.9565383111274114,0.2117943000048399,0.028977900015888736,60,505
weighted_rf_chi2,42,0.9564356435643564,0.9564356435643564,0.9571930307516734,0.9564356435643564,0.9565383111274114,0.3444376999977976,0.013940300006652251,60,505
decision_tree_chi2,2024,0.9524752475247524,0.9524752475247524,0.9528200783879293,0.9524752475247524,0.9525665774074705,0.024016200011828914,0.00054369997815229,60,505
svm_all,2024,0.9346534653465347,0.9346534653465346,0.9371670946754351,0.9346534653465346,0.9343796304491964,0.035846799990395084,0.013452599989250302,78,505
extra_trees_chi2,2024,0.9504950495049505,0.9504950495049505,0.9526436325875579,0.9504950495049505,0.9502918407750185,0.11475989999598823,0.0285532999841962,60,505
random_forest_all,2024,0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.21339969997643493,0.028576000011526048,78,505
random_forest_chi2,2024,0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967,0.2098474999947939,0.06875410000793636,60,505
weighted_rf_chi2,2024,0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967,0.3383843000046909,0.014724699984071776,60,505
decision_tree_chi2,3407,0.9504950495049505,0.9504950495049505,0.9508398803681274,0.9504950495049505,0.9505863793876685,0.02727790002245456,0.0005021000106353313,60,505
svm_all,3407,0.9346534653465347,0.9346534653465346,0.9371670946754351,0.9346534653465346,0.9343796304491964,0.038301900000078604,0.013458200002787635,78,505
extra_trees_chi2,3407,0.9485148514851485,0.9485148514851485,0.950422155457713,0.9485148514851485,0.948328350919726,0.11467759998049587,0.029417700017802417,60,505
random_forest_all,3407,0.9564356435643564,0.9564356435643564,0.9572678527075531,0.9564356435643564,0.9565254052877815,0.21292419999372214,0.028724799980409443,78,505
random_forest_chi2,3407,0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967,0.22325000001001172,0.02828100000624545,60,505
weighted_rf_chi2,3407,0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967,0.3647279000142589,0.0135209999862127,60,505
