feature,chi2
Idle Max,7968.320794037668
Idle Mean,7655.638702616676
Bwd Packet Length Max,7454.049193319804
Idle Min,7384.2879791385585
Fwd IAT Max,7338.877416796086
Flow IAT Max,7306.065559943404
Avg Bwd Segment Size,7145.053808965423
Bwd Packet Length Mean,7145.053808965423
Bwd Packet Length Std,6009.102569270815
Packet Length Std,5759.674160664163
Fwd IAT Total,5167.59642231788
Flow Duration,4929.068387815737
Fwd IAT Std,4834.11809676417
PSH Flag Count,4512.8827067868
Average Packet Size,4372.757500161849
Packet Length Mean,4218.300707233277
FIN Flag Count,3826.60359239083
Destination Port,3806.6218518408077
Packet Length Variance,3319.8642770580536
Max Packet Length,3283.620193643008
URG Flag Count,3267.47667169171
Init_Win_bytes_forward,3173.4277576112922
Flow IAT Std,2982.029380513559
Fwd PSH Flags,2605.792359787616
SYN Flag Count,2605.792359787616
Init_Win_bytes_backward,2359.432846975868
ACK Flag Count,2044.3608629888306
Bwd IAT Max,1416.4594895489352
Bwd IAT Std,1116.0102920986606
Fwd IAT Mean,1081.5633552035056
Bwd Packet Length Min,806.9904950657582
Idle Std,725.8650243883582
Flow IAT Mean,588.4443854755447
Bwd IAT Total,403.518850869045
Flow Packets/s,319.1776070883361
Min Packet Length,298.13582986611806
Fwd Packets/s,291.1771874537704
min_seg_size_forward,237.22207540621497
Fwd Packet Length Min,229.10109494687535
Bwd Packets/s,218.7674856975127
Bwd IAT Mean,207.82893811581707
Active Mean,143.90001648693286
Active Min,139.7013429325664
Down/Up Ratio,100.76436927940696
Bwd IAT Min,92.04575368249442
Fwd IAT Min,76.56816074769264
Total Length of Fwd Packets,66.24347236070575
Subflow Fwd Bytes,66.24347236070575
Avg Fwd Segment Size,50.33413520148565
Fwd Packet Length Mean,50.33413520148565
Flow IAT Min,34.52446499592526
Active Max,25.778198048611312
Bwd Header Length,21.423164955001592
Fwd Packet Length Std,21.051860011635974
Fwd Packet Length Max,18.668428349234127
Active Std,18.066557703602967
Flow Bytes/s,12.763932104849768
Total Backward Packets,10.815387656737379
Subflow Bwd Packets,10.815387656737379
RST Flag Count,9.971855132511884
ECE Flag Count,9.971855132511884
act_data_pkt_fwd,8.557428922715701
Fwd Header Length.1,5.615449475433827
Fwd Header Length,5.615449475433827
Subflow Fwd Packets,3.5748594661690385
Total Fwd Packets,3.5748594661690385
Subflow Bwd Bytes,2.664175687977251
Total Length of Bwd Packets,2.659244195283033
Fwd URG Flags,0.0
Bwd URG Flags,0.0
Bwd PSH Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd Avg Packets/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
CWE Flag Count,0.0
Fwd Avg Bulk Rate,0.0
