method,n_jobs,batch_size,p50,p95,p99,mean_ms
all,1,1,10.066252376245668,11.541196227740464,11.789654033671198,10.298347722778553
all,1,32,0.32356287128554817,0.3991419307243234,0.5227876296889333,0.3389761782164467
all,1,128,0.09264336636123977,0.10470503958179568,0.16761891485888075,0.09539846204860573
all,1,512,0.030347029736154888,0.03630369307766069,0.037679867318135205,0.03078014522033249
all,-1,1,40.09704643564811,77.53795401979575,503.06230592477357,64.72906342574252
all,-1,32,1.1239999010213788,1.218365000011653,1.2238198653535484,1.1331551947201397
all,-1,128,0.3496730693219469,0.4101626039425021,0.45981080592310264,0.36057916171341614
all,-1,512,0.08614168313359565,0.08985023762590465,0.0928401049620721,0.08621633003262968
chi2,1,1,9.459020098985985,11.808917910865699,12.352099035641796,9.721947841583704
chi2,1,32,0.3376096039826032,0.3893158118768438,0.41587137029619226,0.34000637624090047
chi2,1,128,0.08668792082485513,0.09398333661749239,0.10076497423308119,0.08645211221387444
chi2,1,512,0.028573762334993865,0.03410030690616569,0.034530435643841215,0.02944989437844432
chi2,-1,1,35.72579287130865,45.12771488118935,292.883388293067,48.40014399340139
chi2,-1,32,1.1207264356458062,1.4136694950203748,1.5294601861243413,1.157895900991441
chi2,-1,128,0.44923198019214305,0.9393482673296583,177.73828781978364,8.820535953795591
chi2,-1,512,0.34172504951273747,2.7963377326400707,14688.662133467322,690.2460962970276
