method,condition,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,rep,relative_macro_f1_drop
all,clean,0.9564356435643564,0.9564356435643564,0.9572678527075531,0.9564356435643564,0.9565254052877815,,0.0
all,gaussian_noise_1pct,0.6712871287128713,0.6712871287128712,0.8230732360253542,0.6712871287128712,0.6644373903500052,0.0,0.30536357249172946
all,feature_mask_5pct,0.9524752475247524,0.9524752475247524,0.9530269605058151,0.9524752475247524,0.9525652759954776,0.0,0.004140119300974017
all,gaussian_noise_1pct,0.7049504950495049,0.7049504950495049,0.833044633880544,0.7049504950495049,0.7056140689123194,1.0,0.2623153917171417
all,feature_mask_5pct,0.9485148514851485,0.9485148514851485,0.9489203206034891,0.9485148514851485,0.9486022356749441,1.0,0.008283281937978093
all,gaussian_noise_1pct,0.7207920792079208,0.7207920792079208,0.8385628008148235,0.7207920792079208,0.7261317450399256,2.0,0.24086517616177625
all,feature_mask_5pct,0.9544554455445544,0.9544554455445544,0.9553847232181336,0.9544554455445544,0.9545841774174759,2.0,0.002029457722266723
all,gaussian_noise_1pct,0.693069306930693,0.693069306930693,0.8448603772401574,0.693069306930693,0.6958748365615725,3.0,0.2724972774223277
all,feature_mask_5pct,0.9524752475247524,0.9524752475247524,0.9533265564579615,0.9524752475247524,0.9525974553077272,3.0,0.004106477421655657
all,gaussian_noise_1pct,0.700990099009901,0.700990099009901,0.8293914399148286,0.700990099009901,0.7070153504257263,4.0,0.2608504212044293
all,feature_mask_5pct,0.9584158415841584,0.9584158415841584,0.9597123849007293,0.9584158415841584,0.9585335322821539,4.0,-0.0020993974475442116
all,gaussian_noise_1pct,0.7108910891089109,0.7108910891089109,0.8172524936726824,0.7108910891089109,0.7089808037287375,5.0,0.25879563699049624
all,feature_mask_5pct,0.9465346534653465,0.9465346534653465,0.9475572085147558,0.9465346534653465,0.9467560344739778,5.0,0.010213393977616794
all,gaussian_noise_1pct,0.7247524752475247,0.7247524752475247,0.8340291915356541,0.7247524752475247,0.7273660488628835,6.0,0.23957477256545304
all,feature_mask_5pct,0.9544554455445544,0.9544554455445544,0.9554706950337536,0.9544554455445544,0.9545854022016392,6.0,0.002028177271003703
all,gaussian_noise_1pct,0.7247524752475247,0.7247524752475247,0.8432733107674573,0.7247524752475247,0.7303170578680174,7.0,0.23648963861206257
all,feature_mask_5pct,0.9504950495049505,0.9504950495049505,0.9510074055140073,0.9504950495049505,0.950598492121111,7.0,0.006196294561446917
all,gaussian_noise_1pct,0.6772277227722773,0.6772277227722772,0.8220335142753455,0.6772277227722772,0.6776323573393307,8.0,0.29156888714789825
all,feature_mask_5pct,0.9584158415841584,0.9584158415841584,0.9595136109355616,0.9584158415841584,0.9585175359641228,8.0,-0.0020826740882454054
all,gaussian_noise_1pct,0.693069306930693,0.693069306930693,0.8222698976179451,0.693069306930693,0.6956195482772858,9.0,0.2727641686965954
all,feature_mask_5pct,0.9524752475247524,0.9524752475247524,0.9531775062911396,0.9524752475247524,0.952591669692238,9.0,0.004112525996484164
chi2,clean,0.9564356435643564,0.9564356435643564,0.9571930307516734,0.9564356435643564,0.9565383111274114,,0.0
chi2,gaussian_noise_1pct,0.6435643564356436,0.6435643564356436,0.7880768765075714,0.6435643564356436,0.6309968795630685,0.0,0.340332873003955
chi2,feature_mask_5pct,0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967,0.0,-0.0020725378284625782
chi2,gaussian_noise_1pct,0.6752475247524753,0.6752475247524752,0.8180804939295505,0.6752475247524752,0.6687109532730774,1.0,0.30090520631117224
chi2,feature_mask_5pct,0.9524752475247524,0.9524752475247524,0.9529121674187693,0.9524752475247524,0.9525402396939266,1.0,0.004179729538247627
chi2,gaussian_noise_1pct,0.6831683168316832,0.6831683168316831,0.8234951375672557,0.6831683168316831,0.6807741024734663,2.0,0.2882939506405334
chi2,feature_mask_5pct,0.9564356435643564,0.9564356435643564,0.9570250830576953,0.9564356435643564,0.9564944801917502,2.0,4.5822457032088304e-05
chi2,gaussian_noise_1pct,0.6673267326732674,0.6673267326732673,0.8317728306522568,0.6673267326732673,0.6654536224504451,3.0,0.304310538627442
