model,seed,threshold,known_macro_f1,unknown_recall,known_false_rejection_rate,auroc,aupr,known_evaluation_samples,unknown_samples
equal_rf,42,0.712891171534921,0.9400889638496608,0.05666829506595017,0.04171494785631518,0.9399641450252779,0.8711446774043246,1726,2047
equal_rf_temperature_scaled,42,0.7938536927681066,0.9418163360789764,0.07327796775769418,0.04171494785631518,0.9343806978643817,0.8647693486253936,1726,2047
equal_rf_conformal,42,0.1,0.9265385133432646,0.12945774303859306,0.07358053302433372,0.8822036148199808,0.7986070561084511,1726,2047
cfrg_forest,42,0.9548332943452897,0.9221138295274841,0.0014655593551538837,0.04982618771726535,0.6744728882840729,0.5824262618220826,1726,2047
cfrg_forest_temperature_scaled,42,0.8703651782199943,0.9222751502564656,0.008793356130923302,0.05098493626882966,0.6938908421503701,0.5992676060842277,1726,2047
cfrg_forest_conformal,42,0.1,0.9294437892438957,0.09819247679531021,0.0660486674391657,0.8160200808237021,0.7388198975493085,1726,2047
equal_rf,2024,0.7921567374331029,0.9376792266932348,0.12750366389838788,0.051564310544611816,0.9191403523569239,0.8443021542722657,1726,2047
equal_rf_temperature_scaled,2024,0.7921567374323107,0.9376792266932348,0.12750366389838788,0.051564310544611816,0.919140352356924,0.8442428216658852,1726,2047
equal_rf_conformal,2024,0.1,0.9390319598210637,0.12848070346849047,0.06894553881807648,0.8797380899951941,0.7988690660761102,1726,2047
cfrg_forest,2024,0.9611538058551093,0.9193940852816936,0.005862237420615535,0.044611819235225954,0.6435127346295996,0.5621282185834943,1726,2047
cfrg_forest_temperature_scaled,2024,0.8844634365950329,0.9217259663344626,0.010258915486077186,0.04519119351100811,0.6512217806234826,0.5681800178479415,1726,2047
cfrg_forest_conformal,2024,0.1,0.928844279434033,0.02979970688812897,0.08400926998841252,0.7491741015453188,0.6524728448581898,1726,2047
equal_rf,3407,0.7417756309342426,0.9423884482950704,0.37371763556424037,0.04866743916570104,0.9479324518089101,0.9058704575902142,1726,2047
equal_rf_temperature_scaled,3407,0.7417756309335009,0.9423884482950704,0.37371763556424037,0.04866743916570104,0.9479324518089102,0.9058698366281737,1726,2047
equal_rf_conformal,3407,0.1,0.9323788387229441,0.3937469467513434,0.07184241019698726,0.928620353330567,0.8884163294622011,1726,2047
cfrg_forest,3407,0.9558286999145457,0.9295633298290514,0.0361504640937958,0.0440324449594438,0.6844600894053474,0.5974462275714256,1726,2047
cfrg_forest_temperature_scaled,3407,0.8746592989951821,0.9286654334119243,0.03957010258915486,0.04692931633835458,0.6870391115845985,0.5997262354830565,1726,2047
cfrg_forest_conformal,3407,0.1,0.9258956831520166,0.06643869076697606,0.08342989571263036,0.798236517165272,0.7189978013014736,1726,2047
