,precision,recall,f1-score,support
Analysis,0.030800821355236138,0.11078286558345643,0.04820051413881748,677.0
Backdoor,0.03714676390154968,0.27958833619210977,0.06558036612351639,583.0
DoS,0.3156434269857787,0.22254830031792613,0.26104417670682734,4089.0
Exploits,0.7522494245658088,0.6458857348185412,0.6950217496375061,11132.0
Fuzzers,0.2703450183226163,0.6450016496205873,0.3809987819732034,6062.0
Generic,1.0,0.9628000635896349,0.9810475161987041,18871.0
Normal,0.9824882995319812,0.6808378378378378,0.8043103448275862,37000.0
Reconnaissance,0.8790371724558196,0.825228832951945,0.851283564473296,3496.0
Shellcode,0.21792260692464357,0.8492063492063492,0.34683954619124796,378.0
Worms,0.5853658536585366,0.5454545454545454,0.5647058823529412,44.0
accuracy,0.7146431521158237,0.7146431521158237,0.7146431521158237,0.7146431521158237
macro avg,0.5070999387701971,0.5767334515572934,0.4999032442623646,82332.0
weighted avg,0.8471840677775662,0.7146431521158237,0.7602116025221224,82332.0
