file,metric,best_conditional,conditional_model,best_equal_weight,equal_model,delta
results_cfrg_calibration_v1\metrics.csv,macro_f1,0.96182,cfrg_forest,0.95984,equal_rf,0.00198
results_cfrg_calibration_v2_verified\metrics.csv,macro_f1,0.96182,cfrg_forest,0.95984,equal_rf,0.00198
results_cfrg_cic_v1\metrics_3seeds.csv,macro_f1,0.96182,cfrg_forest_chi2,0.96182,cfrg_forest_chi2,0.0
results_cfrg_cic_v1\metrics_aggregate_flat.csv,macro_f1_mean,0.96182,cfrg_forest_chi2,0.96182,cfrg_forest_chi2,0.0
results_cfrg_cic_v2_verified\metrics_3seeds.csv,macro_f1,0.96182,cfrg_forest_chi2,0.96182,cfrg_forest_chi2,0.0
results_cfrg_cic_v2_verified\metrics_aggregate_flat.csv,macro_f1_mean,0.96182,cfrg_forest_chi2,0.96182,cfrg_forest_chi2,0.0
results_cfrg_nsl_v1\seed_2024\metrics.csv,macro_f1,0.52145,cfrg_forest_chi2,0.58507,extra_trees_chi2,-0.06361
results_cfrg_nsl_v1\seed_3407\metrics.csv,macro_f1,0.5182,cfrg_forest_chi2,0.5865,extra_trees_chi2,-0.06831
results_cfrg_nsl_v1\seed_42\metrics.csv,macro_f1,0.52037,cfrg_forest_chi2,0.57725,extra_trees_chi2,-0.05688
results_cfrg_nsl_v2_verified\seed_2024\metrics.csv,macro_f1,0.52145,cfrg_forest_chi2,0.58507,extra_trees_chi2,-0.06361
results_cfrg_nsl_v2_verified\seed_3407\metrics.csv,macro_f1,0.5182,cfrg_forest_chi2,0.5865,extra_trees_chi2,-0.06831
results_cfrg_nsl_v2_verified\seed_42\metrics.csv,macro_f1,0.52037,cfrg_forest_chi2,0.57725,extra_trees_chi2,-0.05688
results_cfrg_open_set_v1\open_set_metrics.csv,known_macro_f1,0.92522,cfrg_forest,0.94401,equal_rf,-0.01879
results_cfrg_open_set_v1\seed_2024\open_set_metrics.csv,known_macro_f1,0.92327,cfrg_forest,0.94315,equal_rf,-0.01988
results_cfrg_open_set_v1\seed_3407\open_set_metrics.csv,known_macro_f1,0.92681,cfrg_forest,0.94357,equal_rf,-0.01676
results_cfrg_open_set_v1\seed_42\open_set_metrics.csv,known_macro_f1,0.92558,cfrg_forest,0.9453,equal_rf,-0.01971
results_cfrg_open_set_v2\open_set_metrics.csv,known_macro_f1,0.91667,cfrg_forest_temperature_scaled,0.93982,equal_rf_temperature_scaled,-0.02316
results_cfrg_open_set_v2\seed_2024\open_set_metrics.csv,known_macro_f1,0.9204,cfrg_forest,0.9369,equal_rf,-0.0165
results_cfrg_open_set_v2\seed_3407\open_set_metrics.csv,known_macro_f1,0.92345,cfrg_forest_temperature_scaled,0.94828,equal_rf,-0.02482
results_cfrg_open_set_v2\seed_42\open_set_metrics.csv,known_macro_f1,0.9074,cfrg_forest_temperature_scaled,0.93539,equal_rf_temperature_scaled,-0.02799
results_cfrg_open_set_v3\open_set_metrics.csv,known_macro_f1,0.92714,cfrg_forest_conformal,0.93982,equal_rf_temperature_scaled,-0.01268
results_cfrg_open_set_v3\seed_2024\open_set_metrics.csv,known_macro_f1,0.92253,cfrg_forest_conformal,0.9369,equal_rf,-0.01438
results_cfrg_open_set_v3\seed_3407\open_set_metrics.csv,known_macro_f1,0.94238,cfrg_forest_conformal,0.94828,equal_rf,-0.0059
results_cfrg_open_set_v3\seed_42\open_set_metrics.csv,known_macro_f1,0.91652,cfrg_forest_conformal,0.93539,equal_rf_temperature_scaled,-0.01887
results_cfrg_open_set_v4\open_set_metrics.csv,known_macro_f1,0.92806,cfrg_forest_conformal,0.94063,equal_rf_temperature_scaled,-0.01257
results_cfrg_open_set_v4\seed_2024\open_set_metrics.csv,known_macro_f1,0.92884,cfrg_forest_conformal,0.93903,equal_rf_conformal,-0.01019
results_cfrg_open_set_v4\seed_3407\open_set_metrics.csv,known_macro_f1,0.92956,cfrg_forest,0.94239,equal_rf,-0.01283
results_cfrg_open_set_v4\seed_42\open_set_metrics.csv,known_macro_f1,0.92944,cfrg_forest_conformal,0.94182,equal_rf_temperature_scaled,-0.01237
results_cfrg_open_set_v5_verified\open_set_metrics.csv,known_macro_f1,0.92806,cfrg_forest_conformal,0.94063,equal_rf_temperature_scaled,-0.01257
results_cfrg_open_set_v5_verified\seed_2024\open_set_metrics.csv,known_macro_f1,0.92884,cfrg_forest_conformal,0.93903,equal_rf_conformal,-0.01019
results_cfrg_open_set_v5_verified\seed_3407\open_set_metrics.csv,known_macro_f1,0.92956,cfrg_forest,0.94239,equal_rf,-0.01283
results_cfrg_open_set_v5_verified\seed_42\open_set_metrics.csv,known_macro_f1,0.92944,cfrg_forest_conformal,0.94182,equal_rf_temperature_scaled,-0.01237
results_cfrg_repeated_v1\metrics.csv,macro_f1,0.9571,cfrg_forest,0.95722,equal_rf,-0.00012
results_cfrg_repeated_v2\metrics.csv,macro_f1,0.9571,cfrg_forest,0.95722,equal_rf,-0.00012
results_cfrg_repeated_v3_verified\metrics.csv,macro_f1,0.9571,cfrg_forest,0.95722,equal_rf,-0.00012
results_cfrg_strong_baselines_v1\metrics.csv,macro_f1,0.96182,cfrg_forest,0.95984,equal_rf,0.00198
results_cfrg_strong_baselines_v2_verified\metrics.csv,macro_f1,0.96182,cfrg_forest,0.95984,equal_rf,0.00198
