seed=42 done
        model         condition     mean  std  relative_drop_pct
equal_rf_chi2             clean 0.891714  NaN              0.000
equal_rf_chi2 label_noise_10pct 0.884900  NaN              0.764
equal_rf_chi2  label_noise_5pct 0.884464  NaN              0.813
equal_rf_chi2     missing_10pct 0.856169  NaN              3.986
equal_rf_chi2      offset_drift 0.723953  NaN             18.813
         rccf             clean 0.889284  NaN              0.000
         rccf label_noise_10pct 0.877589  NaN              1.315
         rccf  label_noise_5pct 0.883911  NaN              0.604
         rccf     missing_10pct 0.851135  NaN              4.290
         rccf      offset_drift 0.736423  NaN             17.189
