model,seed,condition,macro_f1,recall_Bot,recall_Brute Force,recall_DoS/DDoS,recall_Normal,recall_Web Attack,train_seconds
rccf,42,clean,0.8892836200101021,0.9965753424657534,0.9158819836785939,0.9986666666666667,0.9923333333333333,0.8415841584158416,
rccf,42,missing_10pct,0.8511345319535814,0.791095890410959,0.8844946641556811,0.9966666666666667,0.995,0.6831683168316832,
rccf,42,offset_drift,0.7364228679986539,0.5821917808219178,0.8650345260514752,0.974,0.9993333333333333,0.0594059405940594,
equal_rf_chi2,42,clean,0.8917144123681334,0.9965753424657534,0.9190207156308852,0.999,0.9923333333333333,0.8415841584158416,
equal_rf_chi2,42,missing_10pct,0.8561690318763807,0.7773972602739726,0.8913998744507219,0.9946666666666667,0.9973333333333333,0.7029702970297029,
equal_rf_chi2,42,offset_drift,0.7239527401294894,0.5821917808219178,0.86691776522285,0.9063333333333333,0.9993333333333333,0.0594059405940594,
rccf,42,label_noise_5pct,0.8839110728474484,0.9965753424657534,0.9177652228499686,0.997,0.99,0.8217821782178217,102.18621050000002
equal_rf_chi2,42,label_noise_5pct,0.8844637463647983,0.9965753424657534,0.9165097300690521,0.9963333333333333,0.991,0.8316831683168316,
rccf,42,label_noise_10pct,0.8775886991552637,1.0,0.9246704331450094,0.996,0.989,0.7326732673267327,112.51833909999914
equal_rf_chi2,42,label_noise_10pct,0.8849000632425004,1.0,0.9265536723163842,0.9953333333333333,0.9893333333333333,0.7920792079207921,
