model,condition,mean,std,relative_drop_pct
equal_rf_chi2,clean,0.891719,0.000813,0.0
equal_rf_chi2,label_noise_10pct,0.881796,5.2e-05,1.113
equal_rf_chi2,label_noise_5pct,0.885089,0.003429,0.744
equal_rf_chi2,missing_10pct,0.852691,0.000964,4.377
equal_rf_chi2,offset_drift,0.731655,0.008695,17.95
rccf,clean,0.890291,0.001474,0.0
rccf,label_noise_10pct,0.883228,0.001187,0.793
rccf,label_noise_5pct,0.885399,0.000154,0.549
rccf,missing_10pct,0.853219,0.006336,4.164
rccf,offset_drift,0.736701,0.001409,17.252
