model,seed,feature_mode,feature_count,selected_config,validation_macro_f1,elapsed_seconds,accuracy,balanced_accuracy,macro_f1,log_loss,brier_macro,ece,test_samples
random_forest_all,42,all,78,0,0.9362173903543753,0.5741849000041839,0.9564356435643564,0.9564356435643564,0.9565254052877815,0.13789114165431965,0.01421221385368993,0.02538024884145107,505
random_forest_chi2,42,chi2,60,1,0.9362083329301036,0.9746419000148308,0.9584158415841584,0.9584158415841584,0.9585207729615967,0.13402159641403621,0.013927030780931956,0.0242821894479739,505
extra_trees_chi2,42,chi2,60,1,0.9179180617035687,0.599518300005002,0.9465346534653465,0.9465346534653465,0.946296956817835,0.15466517739159755,0.015563010325621929,0.03161399940775211,505
xgboost_chi2,42,chi2,60,0,0.9521581337400298,0.9814813999983016,0.9643564356435643,0.9643564356435643,0.964549097957714,0.1025034792817063,0.01125715643679707,0.011310079465233575,505
random_forest_all,2024,all,78,0,0.9362342226032224,0.5358133999980055,0.9603960396039604,0.9603960396039604,0.9605030012596144,0.13328601726189973,0.013782651623142798,0.026083424855590225,505
random_forest_chi2,2024,chi2,60,0,0.9400952286185982,0.5404168000095524,0.9584158415841584,0.9584158415841584,0.9585207729615967,0.13508703054491644,0.013911779985111953,0.026545217728501283,505
extra_trees_chi2,2024,chi2,60,1,0.9220309201686397,0.6047148999932688,0.9504950495049505,0.9504950495049505,0.9503775110596206,0.14880719795323671,0.014945738732557529,0.03719889713659304,505
xgboost_chi2,2024,chi2,60,1,0.9523122773388563,1.8802165999950375,0.9643564356435643,0.9643564356435643,0.964549097957714,0.1024228257797096,0.011281190743039297,0.011642625185008953,505
random_forest_all,3407,all,78,0,0.9400509510584361,0.533960400003707,0.9564356435643564,0.9564356435643564,0.9565254052877815,0.13462805088064572,0.013880526686006875,0.02593229401472198,505
random_forest_chi2,3407,chi2,60,1,0.9422338291229536,1.0022631000028923,0.9584158415841584,0.9584158415841584,0.9585207729615967,0.12925563393310602,0.013406789786558848,0.02264021194384858,505
extra_trees_chi2,3407,chi2,60,1,0.9180293092334135,0.6097714999923483,0.9524752475247524,0.9524752475247524,0.9523881928236488,0.15319851420111022,0.015457427482527663,0.043194087749942045,505
xgboost_chi2,3407,chi2,60,0,0.9521581337400298,1.0214668000116944,0.9643564356435643,0.9643564356435643,0.9645549331040968,0.10151098373427754,0.011281800432005882,0.007883444444323264,505
