model,feature_mode,k,max_depth,cv_macro_f1,cv_accuracy,complexity,C,n_estimators
decision_tree,all,78,,0.9482178778042798,0.948195329087049,0,,
decision_tree,all,78,10.0,0.9558500024460217,0.9558386411889597,10,,
decision_tree,all,78,20.0,0.949487155125936,0.9494692144373673,20,,
decision_tree,all,78,30.0,0.9482178778042798,0.948195329087049,30,,
svm,all,78,,0.9061537840702586,0.9078556263269639,1,1.0,
svm,all,78,,0.9221922174652983,0.9231422505307855,10,10.0,
svm,all,78,,0.9328049155546525,0.9333333333333333,100,100.0,
random_forest,all,78,,0.9587748605163302,0.9588110403397028,100,,100.0
random_forest,all,78,,0.9596519806740845,0.9596602972399151,200,,200.0
random_forest,all,78,,0.9596364115680279,0.9596602972399151,300,,300.0
extra_trees,all,78,,0.9506990222587177,0.9507430997876858,100,,100.0
extra_trees,all,78,,0.9519811157171771,0.9520169851380043,200,,200.0
extra_trees,all,78,,0.9511419849782536,0.9511677282377919,300,,300.0
decision_tree,chi2,20,,0.9368113824263874,0.9367303609341826,0,,
decision_tree,chi2,20,10.0,0.9508616767119069,0.9507430997876858,10,,
decision_tree,chi2,20,20.0,0.9368184260495933,0.9367303609341826,20,,
decision_tree,chi2,20,30.0,0.9368113824263874,0.9367303609341826,30,,
svm,chi2,20,,0.8299203954210046,0.8305732484076433,1,1.0,
svm,chi2,20,,0.8824625566285651,0.8840764331210191,10,10.0,
svm,chi2,20,,0.9036132320724765,0.9044585987261147,100,100.0,
random_forest,chi2,20,,0.9443487123163644,0.9443736730360934,100,,100.0
random_forest,chi2,20,,0.9473129450448405,0.9473460721868365,200,,200.0
random_forest,chi2,20,,0.9473107620859892,0.9473460721868365,300,,300.0
extra_trees,chi2,20,,0.9457170076775043,0.9456475583864119,100,,100.0
extra_trees,chi2,20,,0.9465386260103934,0.9464968152866241,200,,200.0
extra_trees,chi2,20,,0.9465432186044735,0.9464968152866241,300,,300.0
decision_tree,chi2,40,,0.9438353479575639,0.9439490445859873,0,,
decision_tree,chi2,40,10.0,0.9532833904711955,0.9532908704883226,10,,
decision_tree,chi2,40,20.0,0.9438404315571255,0.9439490445859873,20,,
decision_tree,chi2,40,30.0,0.9438353479575639,0.9439490445859873,30,,
svm,chi2,40,,0.9047620336263188,0.9065817409766452,1,1.0,
svm,chi2,40,,0.922506830253111,0.923566878980892,10,10.0,
svm,chi2,40,,0.936299215355301,0.9367303609341826,100,100.0,
random_forest,chi2,40,,0.9502909555771197,0.9503184713375796,100,,100.0
random_forest,chi2,40,,0.9511446239571641,0.9511677282377919,200,,200.0
random_forest,chi2,40,,0.9511537876095917,0.951167728237792,300,,300.0
extra_trees,chi2,40,,0.9490383373973714,0.9490445859872612,100,,100.0
extra_trees,chi2,40,,0.9481666317136728,0.9481953290870487,200,,200.0
extra_trees,chi2,40,,0.9485966036717646,0.948619957537155,300,,300.0
decision_tree,chi2,60,,0.9481148887070787,0.9481953290870487,0,,
decision_tree,chi2,60,10.0,0.9545461703883739,0.9545647558386412,10,,
decision_tree,chi2,60,20.0,0.9493818678311019,0.9494692144373673,20,,
decision_tree,chi2,60,30.0,0.9481148887070787,0.9481953290870487,30,,
svm,chi2,60,,0.9065738410698689,0.9082802547770701,1,1.0,
svm,chi2,60,,0.9226804971562063,0.9235668789808917,10,10.0,
svm,chi2,60,,0.9323867242221755,0.9329087048832271,100,100.0,
random_forest,chi2,60,,0.959184343492098,0.9592356687898089,100,,100.0
random_forest,chi2,60,,0.958375615946028,0.9583864118895967,200,,200.0
random_forest,chi2,60,,0.9600569600743425,0.9600849256900211,300,,300.0
extra_trees,chi2,60,,0.9524538573057667,0.9524416135881104,100,,100.0
extra_trees,chi2,60,,0.9528335127797594,0.9528662420382166,200,,200.0
extra_trees,chi2,60,,0.9511665698954193,0.9511677282377919,300,,300.0
