model,feature_mode,k,max_depth,cv_macro_f1,cv_accuracy,complexity,C,n_estimators
decision_tree,all,78,,0.9448238473509889,0.9447983014861995,0,,
decision_tree,all,78,10.0,0.9512012926004461,0.951167728237792,10,,
decision_tree,all,78,20.0,0.9448136164319164,0.9447983014861995,20,,
decision_tree,all,78,30.0,0.9448238473509889,0.9447983014861995,30,,
svm,all,78,,0.9209740984239325,0.9218683651804671,1,1.0,
svm,all,78,,0.9284949927787375,0.9290870488322718,10,10.0,
svm,all,78,,0.9332513830134499,0.9337579617834397,100,100.0,
random_forest,all,78,,0.9566808092292979,0.9566878980891719,100,,100.0
random_forest,all,78,,0.957557992416618,0.9575371549893843,200,,200.0
random_forest,all,78,,0.9579846355175261,0.9579617834394906,300,,300.0
extra_trees,all,78,,0.9507164159508426,0.9507430997876858,100,,100.0
extra_trees,all,78,,0.9515566268363786,0.9515923566878982,200,,200.0
extra_trees,all,78,,0.9515711791685224,0.9515923566878982,300,,300.0
decision_tree,chi2,20,,0.9457437281662383,0.9456475583864119,0,,
decision_tree,chi2,20,10.0,0.9521604699684489,0.9520169851380043,10,,
decision_tree,chi2,20,20.0,0.9457675082762617,0.9456475583864119,20,,
decision_tree,chi2,20,30.0,0.9457437281662383,0.9456475583864119,30,,
svm,chi2,20,,0.8443425608754087,0.8450106157112527,1,1.0,
svm,chi2,20,,0.8814279377516634,0.8828025477707007,10,10.0,
svm,chi2,20,,0.9020169376567908,0.9031847133757962,100,100.0,
random_forest,chi2,20,,0.9456221087233881,0.9456475583864119,100,,100.0
random_forest,chi2,20,,0.948240121658,0.948195329087049,200,,200.0
random_forest,chi2,20,,0.9473424572097278,0.9473460721868365,300,,300.0
extra_trees,chi2,20,,0.9481553066064329,0.948195329087049,100,,100.0
extra_trees,chi2,20,,0.947320695336906,0.9473460721868365,200,,200.0
extra_trees,chi2,20,,0.9481517955163972,0.948195329087049,300,,300.0
decision_tree,chi2,40,,0.9423593204198205,0.9422505307855626,0,,
decision_tree,chi2,40,10.0,0.9478546239623329,0.9477707006369427,10,,
decision_tree,chi2,40,20.0,0.9419141314729235,0.9418259023354565,20,,
decision_tree,chi2,40,30.0,0.9423593204198205,0.9422505307855626,30,,
svm,chi2,40,,0.9214473080242547,0.9222929936305733,1,1.0,
svm,chi2,40,,0.9279141891305169,0.9286624203821656,10,10.0,
svm,chi2,40,,0.932638953294143,0.9333333333333333,100,100.0,
random_forest,chi2,40,,0.9490798109285372,0.9490445859872612,100,,100.0
random_forest,chi2,40,,0.949508816984304,0.9494692144373674,200,,200.0
random_forest,chi2,40,,0.9486779484155001,0.948619957537155,300,,300.0
extra_trees,chi2,40,,0.9477249738450115,0.9477707006369427,100,,100.0
extra_trees,chi2,40,,0.949442387772941,0.9494692144373673,200,,200.0
extra_trees,chi2,40,,0.9507124492077166,0.9507430997876858,300,,300.0
decision_tree,chi2,60,,0.9486785007070575,0.948619957537155,0,,
decision_tree,chi2,60,10.0,0.9524601530851136,0.9524416135881104,10,,
decision_tree,chi2,60,20.0,0.9490896520826612,0.9490445859872612,20,,
decision_tree,chi2,60,30.0,0.9486785007070575,0.948619957537155,30,,
svm,chi2,60,,0.9214171060770914,0.9222929936305733,1,1.0,
svm,chi2,60,,0.9276041190125046,0.9282377919320595,10,10.0,
svm,chi2,60,,0.9324129939201928,0.9329087048832271,100,100.0,
random_forest,chi2,60,,0.9545216337681411,0.9545647558386412,100,,100.0
random_forest,chi2,60,,0.9545650049158333,0.9545647558386412,200,,200.0
random_forest,chi2,60,,0.9558432729874763,0.9558386411889597,300,,300.0
extra_trees,chi2,60,,0.9498116725015443,0.9498938428874734,100,,100.0
extra_trees,chi2,60,,0.9498335357534688,0.9498938428874736,200,,200.0
extra_trees,chi2,60,,0.9498754549568954,0.9498938428874736,300,,300.0
